manufacturer,model,canonical_id,official_product_url,existing_primary_family,existing_design_subtype,proposed_primary_category,secondary_categories,fin_configuration,wave_power,wave_types,ability_range,paddle_profile,performance_profile,recommendation_lanes,excluded_lanes,source_summary,manufacturer_evidence,rocker_notes,rail_notes,tail_notes,key_trade_offs,source_confidence,classification_confidence,classification_status,changed_from_current,change_reason,review_decision,review_notes
Firewire,Boss Up,7968,https://www.firewiresurfboards.com/products/prestige-boss-up,Mid Length,Performance Mid Length,mid_length,performance_mid_length,Single | Two Plus One | Twin,powerful,,Progressing | Intermediate | Advanced,high,flow_and_trim,mid_length | paddle_support | flow,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated performance mid-length classification.,"The Boss up is the bigger brother of the S Boss, Kelly's first-ever midlength. Designed by Dan Mann in partnership with Kelly Slater and Kevin Schulz, this utility midlength is the most well-rounded and versatile shape in the Slater Designs range, crafted to cruise across weak wave faces and grind through cavernous overhead tubes. The Boss Up is the board you would travel with if you could only bring one board with you. Your one board quiver with maximum performance in a purely versatile package. Recommended to ride roughly +13 liters more volume than your standard shortboard, paired with the KS1 5 Fin Template configured as a Quad. *** I-Bolic 2.0 Core Technology I-beam core construction with flex controlled at the rails using high density foam - an engineering feat developed for performance. I-Bolic 2.0 Technology offers the same speed, control, strength and response as the original, but with increased strength due to a fully engineered carbon strip inlay on the bottom deck and an updated look.",*** I-Bolic Core Technology I-beam core construction with flex controlled at the rails using high density foam - an engineering feat developed for performance.,,,,medium,high,proposed_for_owner_review,False,current primaryFamily=Mid Length; \bmid[ -]?length\b; \bmidlength\b,,
Firewire,Dominator 2.0,7961,https://www.firewiresurfboards.com/products/dominator-2-0-2026,Daily Driver,All Round Daily Driver,daily_driver,,Thruster | Five Fin,powerful,,Progressing | Intermediate | Advanced,moderate,moderate,daily_driver | everyday,alternative | beginner | big_wave | competition | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Reviewed forgiving daily-driver classification.,"The Dominator II is a revisited version that I'm super excited about. The Dominator has been a staple in my quiver, and the Firewire line, since its inception in 2008. The DM II is meant to be a clean update of the original with design features that allow it to work well in a wider range of conditions and enhance its performance. The obvious outline change is the tail going to a squash from the round tail. Also, the rails are slightly more refined and performance oriented. The concave is the same under the front foot but splits into a subtle, double-barrel and V out the tail in the last 5"". I normally look for a round tail to provide smoothness in transition from rail to rail and during turns, but the squash tail is proving to not only have that quality as well, but also a bit more release in the turns. *** Helium Core Technology Our best-selling technology, with a new updated look. A stringerless EPS core with flex controlled at the rails made from Paulownia and Balsa wood and our proprietary deckskins - this construction is light and lively underfoot, and excellent at generating speed in everyday waves. Rob Machado calls the parabolic flex control provided by the wooden rails in the Machadocado ""good for drive on rail and control in critical sections.","Also, the rails are slightly more refined and performance oriented. I normally look for a round tail to provide smoothness in transition from rail to rail and during turns, but the squash tail is proving to not only have that quality as well, but also a bit more release in the turns.",,round tail,,medium,high,proposed_for_owner_review,False,current primaryFamily=Daily Driver; \bdaily driver\b,,
Firewire,Dominator Pro,7958,https://www.firewiresurfboards.com/products/dominator-pro,Performance Daily Driver,Performance Daily Driver,daily_driver,step_up | performance_daily_driver | performance_shortboard,Thruster | Five Fin,powerful,,Intermediate | Advanced,moderate,moderate,daily_driver | everyday,alternative | beginner | big_wave | competition | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated performance daily-driver classification.,"This is the shortboard that fans of the Dominator have been asking Dan Mann to build for years, designed to go toe to toe with your favorite performance shortboard. The all-new Dominator Pro shape is designed for surfers who have either progressed their skill set and want a more performance version of the Dominator 2.0, or just want a more refined version of the Dominator 2.0 for surf trips, or good days at home. The rocker on the Dominator Pro is true to the style of rocker on the original Dominator, but with a moderate increase in curve from nose to tail.The bottom contour's concave configuration is a near match of the Dominator 2.0's concave, with slightly more single concave under the front foot in the Dominator Pro, flowing into a double barrel concave through the fins that transitions to a vee out the tip of the tail. The Dominator Pro is a true performance all rounder suited to waves thigh high and above, all the way up into overhead and hollow surf, but does work well in a variety of conditions. It really comes alive in the chest-high and above range, and wants to sit tight in the pocket and be in punchy waves with some curve to them. Pair the Firewire Velox Fin Set for the best performance - many of our riders love it as a Thruster, Dan prefers the Quad configuration. *** Helium Core Technology A stringerless EPS core with flex controlled at the rails made from Paulown","The rocker on the Dominator Pro is true to the style of rocker on the original Dominator, but with a moderate increase in curve from nose to tail.The bottom contour's concave configuration is a near match of the Dominator 2.0's concave, with slightly more single concave under the front foot in the Dominator Pro, flowing into a double barrel concave through t",,"The rocker on the Dominator Pro is true to the style of rocker on the original Dominator, but with a moderate increase in curve from nose to tail.The bottom contour's concave configuration is a near match of the Dominator 2.0's concave, with slightly more single concave under the front foot in the Dominator Pro, flowing into a double barrel concave through t",,medium,medium,proposed_for_owner_review,True,\bdaily driver\b; \ball[ -]?rounder\b,,
Firewire,DRK,7954,https://www.firewiresurfboards.com/products/drk,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Introducing the winning design of Stab In The Dark X starring Kelly Slater, the DRK in I-Bolic 2.0 Technology by Dan Mann. Dan drew inspiration from the original shape he crafted for Kelly when first asked to make the 11x World Champion some boards, the DRK is a refined version of the FRK designed for high-performance surfing in good waves. When Dan shaped the original batch of FRKs for Kelly in 2015, they sat in his board shed until 2017 when a friend insisted he try one. He loved that board from the very first turn on it, he immediately clicked and felt he could mindsurf anywhere he wanted to on the wave, it drove and jumped to exactly where he wanted to go. Kelly's FRK shapes went unchanged until 2022 for the Barra de la Cruz event when he wanted to change the rail and foil to be more balanced under his chest. And then once more before a trip to J-Bay in 2023, when he asked Dan to push the wide point forward making the back half of the board more narrow than the FRK, allowing for a more elliptical, pulled-in tail. More narrow meant more sensitivity, and more need to be on top of your game. Dan on the Stab In The Dark X project, ""it was a simple decision that this was my best shape for him. The board looked insane under his feet. He could put it wherever he wanted and he didn't have to think about it. Kelly not thinking about the board is when he is free to fly. When he is fl","Kelly's FRK shapes went unchanged until 2022 for the Barra de la Cruz event when he wanted to change the rail and foil to be more balanced under his chest. When he is flying, we all win."" The DRK came to be with great care to keep the features that make the FRK such a great board, like fin placement, bottom contours, and rocker.",,"And then once more before a trip to J-Bay in 2023, when he asked Dan to push the wide point forward making the back half of the board more narrow than the FRK, allowing for a more elliptical, pulled-in tail.",,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Firewire,FRK Swallow,7959,https://www.firewiresurfboards.com/products/frk-swallow-2026,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Meet the newest addition to the FRK quiver. Crafted to unlock performance in waves 5' and under, Dan Mann designed the FRK Swallow to be more versatile in its performance characteristics than any other FRK shape that came before it. In addition to the new swallow tail design, Dan placed an emphasis on better distributing the volume directly between the surfer's stance and worked with Kelly to amplify the effect of the outline in the back third of the board against all-new rocker curves - both down the shape's centerline and on its rails. By specifically perfecting the curve at the board's center when compared with the curve at the rails, the FRK Swallow excels at creating speed in flat, sticky sections, without sacrificing on-rail performance. Amongst the Slater Designs team, the unanimous feedback has been that the FRK Swallow feels better during downcarves and in fin releases than any other Slater Designs shape. Designed to be surfed 2"" shorter than the FRK and 1"" shorter than the FRK+. Recommended to pair with our Endorfins KS1 Fin Set for best performance. *** I-Bolic 2.0 Core Technology I-beam core construction with flex controlled at the rails using high density foam - an engineering feat developed for performance. I-Bolic 2.0 Technology offers the same speed, control, strength and response as the original, but with increased strength due to a fully engineered carbon stri","In addition to the new swallow tail design, Dan placed an emphasis on better distributing the volume directly between the surfer's stance and worked with Kelly to amplify the effect of the outline in the back third of the board against all-new rocker curves - both down the shape's centerline and on its rails. By specifically perfecting the curve at the board",,swallow tail,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Firewire,FRK+,7970,https://www.firewiresurfboards.com/products/frk-2026,High Performance Shortboard,Competition HPSB,performance_shortboard,,Thruster,moderate,,Advanced | Expert,low_moderate,very_high,performance_shortboard | good_wave | competition,alternative | beginner | big_wave | daily_driver | everyday | fish | flow | forgiving_shortboard | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy performance_shortboard.,"Dan Mann's FRK+ is a classic squash tail high-performance shortboard, an enhanced version of the FRK for everyday conditions. The FRK+ is meant to be ridden slightly shorter than the original FRK round tail. It has all the on-wave benefits of the original FRK with a touch more release through turns that comes from the squash tail and minor adjustments to how the concaves and fin placements relate to the increased surface area of the squash when compared to a round tail. The feedback on this shape has been that it has a super quick rail-to-rail responsiveness mixed with extremely good drive and release. Most intermediate and above surfers will appreciate the FRK+ for the way it gets out of your way to the point that you don't even notice it's there - it feels like the most high performance expression of your intentions possible. *** I-Bolic 2.0 Core Technology I-beam core construction with flex controlled at the rails using high density foam - an engineering feat developed for performance. I-Bolic 2.0 Technology offers the same speed, control, strength and response as the original, but with increased strength due to a fully engineered carbon strip inlay on the bottom deck and an updated look.",The feedback on this shape has been that it has a super quick rail-to-rail responsiveness mixed with extremely good drive and release. *** I-Bolic 2.0 Core Technology I-beam core construction with flex controlled at the rails using high density foam - an engineering feat developed for performance.,,squash tail,,medium,high,proposed_for_owner_review,False,current primaryFamily=High Performance Shortboard; \bhigh performance shortboard\b; \bperformance shortboard\b; \bhpsb\b,,
Firewire,Great White Twin,7965,https://www.firewiresurfboards.com/products/prestige-great-white-twin,Performance Twin,Performance Twin,performance_twin,groveller,Twin,powerful,,Intermediate | Advanced | Expert,moderate,high_alternative,performance_twin | alternative | daily_driver,beginner | big_wave | competition | everyday | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated twin-fin performance classification.,"Inspired by the outline of the Great White Shark, Kelly Slater designed the 'Great White Twin' in I-Bolic Technology with Volcanic Lamination alongside Bali-based shaper Mike Woo. This is a high performance groveler with the paddle and catching of a hybrid, and the on-rail performance of a shortboard. It fits where most fish don't - it creates speed in weak waves, controls speed in powerful waves, and excels at tight arcs in punchy pockets and quick wraps on shoulder sections. It's volume is hidden at center with fine rails for immediate response and quick reaction in the pocket. It has the speed of a twin fin with the immediate response of a thruster, and it's elevated tail rocker makes it magic on your backhand. Recommended to surf at your performance volume, or just slightly more. *** I-Bolic Core Technology I-beam core construction with flex controlled at the rails using high density foam - an engineering feat developed for performance. Volcanic Lamination Technology Forged in fire, this Basalt lamination technology is our sustainable alternative to carbon, and is our most durable with elevated response.","This is a high performance groveler with the paddle and catching of a hybrid, and the on-rail performance of a shortboard. It's volume is hidden at center with fine rails for immediate response and quick reaction in the pocket.",,"It has the speed of a twin fin with the immediate response of a thruster, and it's elevated tail rocker makes it magic on your backhand.",,medium,high,proposed_for_owner_review,False,current primaryFamily=Performance Twin; \bperformance twin\b; twin fin supporting evidence,,
Firewire,Greedy Beaver,7976,https://www.firewiresurfboards.com/products/prestige-greedy-beaver,Mid Length,Mid Length,mid_length,longboard,Single | Two Plus One | Twin,moderate,,Progressing | Intermediate | Advanced,high,flow_and_trim,mid_length | paddle_support | flow,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated accessible mid-length classification.,"The Greedy Beaver has a real shortboard feel with a compressed longboard outline, a true crossover board with midlength retro glide and shortboard maneuverability. Put it on rail while engaging the single to double concave, step on the rounded pin and it surfs like a shortboard in the pocket. Or take advantage of the single to double concave and large planing surface to trim effortlessly over dead sections. The beveled rail reduces the overall thickness, adding performance including rapid direction changes. Raise your wave count every session with the paddle power of the Greedy Beaver while turning on a dime as you thread your way through the pack. *** Helium Core Technology A stringerless EPS core with flex controlled at the rails made from Paulownia and Balsa wood - this construction is light and lively underfoot, and excellent at generating speed in everyday waves. Volcanic Lamination Technology Forged in fire, this Basalt lamination technology is our sustainable alternative to carbon, and is our most durable with elevated response.","Put it on rail while engaging the single to double concave, step on the rounded pin and it surfs like a shortboard in the pocket. The beveled rail reduces the overall thickness, adding performance including rapid direction changes.",,"Put it on rail while engaging the single to double concave, step on the rounded pin and it surfs like a shortboard in the pocket.",,medium,high,proposed_for_owner_review,False,current primaryFamily=Mid Length; \bmid[ -]?length\b; \bmidlength\b,,
Firewire,Groove,7963,https://www.firewiresurfboards.com/products/groove-2026,High Performance Shortboard,Competition HPSB,performance_shortboard,,Thruster,weak,,Advanced | Expert,low_moderate,very_high,performance_shortboard | good_wave | competition,alternative | beginner | big_wave | daily_driver | everyday | fish | flow | forgiving_shortboard | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy performance_shortboard.,"When everything goes your way. Find your Groove. Meet the highest-performance board Rob Machado's ever designed. This shape still has the hybrid DNA Rob's known for, but it's the closest thing to a high-performance shortboard Rob's ever created. The Groove's rocker and tail template bring this shape back into the world of being able to come square off the bottom and go square off the lip, what everyone calls 'high-performance surfing.' Rob added in more rocker than his typical shapes, with a tail rocker that puts you tight in the pocket and elevated nose rocker to help you come down tight off the lip without catching your nose. As Rob explains, ""all surfboards have a balance of speed and control, and the Groove is all about controlling the speed a good wave gives you. It's the most responsive, high-performance board I've ever designed."" Rob continues, ""I feel like my designs are slowly moving in the direction of being more and more performance driven. After stopping the tour, I went as far away from high-performance as I could. I wanted to feel what all these different designs had to offer out there in the world. Twins, single fins, bonzers…and beyond. The Groove is an exploration back into the world of a high-performance thruster but with an outline twist, giving you some width and thickness up front for extra paddle-ability but giving you a nice pulled in squash tail for high","The Groove's rocker and tail template bring this shape back into the world of being able to come square off the bottom and go square off the lip, what everyone calls 'high-performance surfing.' Rob added in more rocker than his typical shapes, with a tail rocker that puts you tight in the pocket and elevated nose rocker to help you come down tight off the li",,squash tail,,medium,high,proposed_for_owner_review,False,current primaryFamily=High Performance Shortboard; \bhigh performance shortboard\b; \bperformance shortboard\b; \bhpsb\b,,
Firewire,Machadocado,7966,https://www.firewiresurfboards.com/products/machadocado,Performance Fish,Performance Fish,performance_fish,,Twin | Quad,powerful,,Intermediate | Advanced | Expert,moderate_high,moderate_high,fish | performance_fish | small_wave | daily_driver,alternative | beginner | big_wave | competition | everyday | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated modern alternative fish classification.,"Meet your new favorite summertime shape, designed by Rob Machado inspired by the outline of an avocado mixed with the DNA of a fish and the performance of a shortboard. Experience the joy of catching waves you'd previously not even consider trying to catch on the Machadocado with ease, this is Rob's most versatile squash tail yet. Whether you're an experienced surfer or just beginning, this shape will be your best friend on smaller days. Designed by the California-based style icon, this board embodies Rob's extensive experience and passion for small wave surfing in California. The Machadocado is slightly wider and thicker than your standard shortboard, providing excellent stability and grovel-ability, while it's thinned out tail provides plenty of control and hold in rounder, more powerful waves. It's volume distribution favors fast wraps and quick speed generation in waves knee-high to overhead. The Thruster fin configuration allows you to ride as a Twin, a Twin with a trailer, or a Thruster, depending on your desired feeling. Recommended with the Machado 2 + 1 Fin Set for the best experience. This fin template was designed specifically for the Machadocado to enable tight turns and extreme control. *** Helium Core Technology Our best-selling technology, with a new updated look. A stringerless EPS core with flex controlled at the rails made from Paulownia and Balsa wood and our","The Thruster fin configuration allows you to ride as a Twin, a Twin with a trailer, or a Thruster, depending on your desired feeling. A stringerless EPS core with flex controlled at the rails made from Paulownia and Balsa wood and our proprietary deckskins - this construction is light and lively underfoot, and excellent at generating speed in everyday waves.",,squash tail,,medium,high,proposed_for_owner_review,False,current primaryFamily=Performance Fish; \bperformance fish\b,,
