manufacturer,model,canonical_id,official_product_url,existing_primary_family,existing_design_subtype,proposed_primary_category,secondary_categories,fin_configuration,wave_power,wave_types,ability_range,paddle_profile,performance_profile,recommendation_lanes,excluded_lanes,source_summary,manufacturer_evidence,rocker_notes,rail_notes,tail_notes,key_trade_offs,source_confidence,classification_confidence,classification_status,changed_from_current,change_reason,review_decision,review_notes
Pukas,Pegaso,8057,https://pukassurf.com/en/surfboards/pegaso/,Performance Fish,Performance Fish,performance_fish,performance_shortboard,Twin | Quad,moderate,beach_break,Intermediate | Advanced | Expert,moderate_high,moderate_high,fish | performance_fish | small_wave | daily_driver,alternative | beginner | big_wave | competition | everyday | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy fish.,"Pegaso is Chris Christenson's more performance-based twin fin, with a more vertical approach than the Chris Fish while keeping twin-fin glide and drive. It can be surfed aggressively in the pocket, still carries speed, and handles surf from 1ft to 5ft, from local beach breaks to Indo. Pukas positions it as a twin you can size 3-4 inches longer than a standard fish or 3-4 inches shorter than a daily performance shortboard.",,,"Pegaso is Chris Christenson's more performance-based twin fin, with a more vertical approach than the Chris Fish while keeping twin-fin glide and drive.",,medium,high,proposed_for_owner_review,False,current primaryFamily=Performance Fish; \bperformance fish\b,,
Pukas,Pukas All-Round Longboard,8059,https://pukassurf.com/en/surfboards/pukas-all-round-longboard/,Longboard,Longboard,longboard,,Single | Two Plus One,moderate,,Beginner | Progressing | Intermediate | Advanced,very_high,trim_glide_and_noseride,longboard | paddle_support | small_wave,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | mid_length | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy longboard.,"The All-Round Longboard is built to work in all wave conditions and stay easy to surf. It carries slightly more tail rocker for sharper, more vertical manoeuvres, blending into a smooth medium nose rocker. The bottom contour uses three transitions: a slightly accentuated full concave in the nose, a smooth middle section and a V-bottom with a more defined double concave through the tail. That layout is intended to keep the board moving efficiently while still supporting movement around the board.","It carries slightly more tail rocker for sharper, more vertical manoeuvres, blending into a smooth medium nose rocker.",,"It carries slightly more tail rocker for sharper, more vertical manoeuvres, blending into a smooth medium nose rocker. The bottom contour uses three transitions: a slightly accentuated full concave in the nose, a smooth middle section and a V-bottom with a more defined double concave through the tail.",,medium,high,proposed_for_owner_review,False,current primaryFamily=Longboard; \blongboard\b,,
Pukas,Pukas Beachy Mood,8060,https://pukassurf.com/en/surfboards/pukas-beachy-mood/,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,weak,beach_break,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Beachy Mood is a daily surf companion built for easy, versatile performance surfing, especially in beach breaks. It uses a subtly curved outline that is slightly wider than high-performance pro dimensions, plus a lazy rocker that increases water contact and natural speed. The bottom runs a medium-depth single concave into double concave between the fins with a soft tail exit, helping rail-to-rail transitions stay smooth while holding speed through flatter sections. It suits small to medium beach-break waves and is recommended one inch shorter than your usual daily board.","It uses a subtly curved outline that is slightly wider than high-performance pro dimensions, plus a lazy rocker that increases water contact and natural speed. The bottom runs a medium-depth single concave into double concave between the fins with a soft tail exit, helping rail-to-rail transitions stay smooth while holding speed through flatter sections.",,"The bottom runs a medium-depth single concave into double concave between the fins with a soft tail exit, helping rail-to-rail transitions stay smooth while holding speed through flatter sections.",,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Pukas,Pukas Easy Mood,8061,https://pukassurf.com/en/surfboards/pukas-easy-mood/,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,weak,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Easy Mood is the easiest member of the Mood family and is designed as a step-down to ride around two inches shorter than an everyday performance board. Its curved outline, generous nose area and wide tail help it work in softer conditions without giving away performance. A super deep full concave keeps speed constant, while a lazy rocker balances ease and response. Well-distributed chest thickness improves paddling, wave catching and speed generation, making it a user-friendly performance board for all surfer types once the volume is matched correctly.","A super deep full concave keeps speed constant, while a lazy rocker balances ease and response.",,"Its curved outline, generous nose area and wide tail help it work in softer conditions without giving away performance.",,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Pukas,Pukas Fish,8062,https://pukassurf.com/en/surfboards/pukas-fish/,Performance Fish,Performance Fish,performance_fish,,Twin | Quad,moderate,,Intermediate | Advanced | Expert,moderate_high,moderate_high,fish | performance_fish | small_wave | daily_driver,alternative | beginner | big_wave | competition | everyday | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy fish.,"An old-school fish adapted to modern surfing. With an outline reminiscent of a classic old-school fish but slightly narrower throughout, this board offers enhanced agility for executing manoeuvres in the pocket. A more pronounced rocker than a standard fish makes vertical manoeuvres easier. It runs a smooth full concave through the midsection into a V-bottom through the tail with a subtle double concave between the fins. Ultra-low rails help the board slice cleanly through the wave face. Best paired with keel fins, it is ideal for surfers of all skill levels and a wide range of conditions.",A more pronounced rocker than a standard fish makes vertical manoeuvres easier. Ultra-low rails help the board slice cleanly through the wave face.,low rails,It runs a smooth full concave through the midsection into a V-bottom through the tail with a subtle double concave between the fins.,,medium,high,proposed_for_owner_review,False,current primaryFamily=Performance Fish; \bperformance fish\b; fish in model name,,
Pukas,Pukas Flying Diamond,8063,https://pukassurf.com/en/surfboards/pukas-flying-diamond/,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,beach_break,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Flying Diamond takes Magnetic DNA and pushes it into a more performance-oriented twin. The outline has more curve and the rocker is medium, while the projected diamond tail keeps the board stable and flowing between turns. The board is designed for strong paddling, modern twin-fin feel and more projection through turns, making it a good fit for surfers who want an easy-riding board with lively performance across travel waves and beach breaks. Pukas recommends a few extra litres compared with your usual board.","The outline has more curve and the rocker is medium, while the projected diamond tail keeps the board stable and flowing between turns.",,diamond tail,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Pukas,Pukas Hyperlink,8056,https://pukassurf.com/en/surfboards/hyperlink/,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Hyperlink is an exclusive Pukas x Matt Biolos design for European waves. It is meant to be swift-turning, fast and responsive, evolving from the Link Two concept into a more racey hybrid-performance board. Entry rocker is lifted slightly, tail rocker is lowered, and extra stringer-line curve is added. The double concave is deepened, the deck flattened a touch, and the rails made steeper with a smaller bottom-rail radius. Added forward foil volume and a small beak in the nose help paddling, while the scooped deck in the tail adds rear-foot sensitivity.","Entry rocker is lifted slightly, tail rocker is lowered, and extra stringer-line curve is added. The double concave is deepened, the deck flattened a touch, and the rails made steeper with a smaller bottom-rail radius.",,"Entry rocker is lifted slightly, tail rocker is lowered, and extra stringer-line curve is added. Added forward foil volume and a small beak in the nose help paddling, while the scooped deck in the tail adds rear-foot sensitivity.",,medium,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Pukas,Pukas Magnetic,8064,https://pukassurf.com/en/surfboards/pukas-magnetic/,Mid Length,Mid Length,mid_length,,Single | Two Plus One | Twin,powerful,,Progressing | Intermediate | Advanced,high,flow_and_trim,mid_length | paddle_support | flow,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy mid_length.,"Magnetic is a medium-to-long twin-fin design that blends alternative-board flow with new-school performance. It carries a smooth outline with minimal curve, low overall rocker and slightly more tail curve to keep the tail loose and easy to redirect. The bottom mixes concaves with V-bottom for clean hydrodynamics and a smooth efficient ride. It is aimed at surfers of all skill levels who want a longer twin for moderate to larger waves, including more powerful breaks.","It carries a smooth outline with minimal curve, low overall rocker and slightly more tail curve to keep the tail loose and easy to redirect.",,"It carries a smooth outline with minimal curve, low overall rocker and slightly more tail curve to keep the tail loose and easy to redirect.",,low,high,proposed_for_owner_review,False,current primaryFamily=Mid Length; \bmid[ -]?length\b,,
Pukas,Pukas Mustache,8065,https://pukassurf.com/en/surfboards/pukas-mustache/,Performance Fish,Performance Fish,performance_fish,,Twin | Quad,moderate,,Intermediate | Advanced | Expert,moderate_high,moderate_high,fish | performance_fish | small_wave | daily_driver,alternative | beginner | big_wave | competition | everyday | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy fish.,"The Mustache is a new-school fish performance concept built around a twin or 2+1 setup. It blends fish speed with high-performance surfboard control through a wider nose outline, smooth taper into the tail, and a distinctive winged mustache swallow tail that sharpens rail engagement and vertical surfing. Recommended for intermediate to advanced surfers in 2-5ft waves, it can be ridden as a 2+1, twin or thruster.","It blends fish speed with high-performance surfboard control through a wider nose outline, smooth taper into the tail, and a distinctive winged mustache swallow tail that sharpens rail engagement and vertical surfing.",,swallow tail,,medium,high,proposed_for_owner_review,False,current primaryFamily=Performance Fish; \bperformance fish\b,,
Pukas,Pukas Performance Mood,8058,https://pukassurf.com/en/surfboards/performance-mood/,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Performance Mood carries the DNA of a high-performance surfboard and is aimed at surfers chasing vertical lines, rail surfing, speed and modern manoeuvres. It features a clean outline, medium nose and tail width, and a full concave bottom that channels energy toward the tail for quick, responsive direction changes with release and control. It is intended for hardcore surfers who want a modern high-performance board they can tune to their own skill level, preferences and waves.","Performance Mood carries the DNA of a high-performance surfboard and is aimed at surfers chasing vertical lines, rail surfing, speed and modern manoeuvres.",,"It features a clean outline, medium nose and tail width, and a full concave bottom that channels energy toward the tail for quick, responsive direction changes with release and control.",,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
