manufacturer,model,canonical_id,official_product_url,existing_primary_family,existing_design_subtype,proposed_primary_category,secondary_categories,fin_configuration,wave_power,wave_types,ability_range,paddle_profile,performance_profile,recommendation_lanes,excluded_lanes,source_summary,manufacturer_evidence,rocker_notes,rail_notes,tail_notes,key_trade_offs,source_confidence,classification_confidence,classification_status,changed_from_current,change_reason,review_decision,review_notes
Simon Anderson,5 Spark,8069,https://simonandersonsurfboards.com/surfboards/5-spark,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Designed to be surfed as a Thruster in 3 - 4' range, or Quad in 1 - 2', our Riders usually surf 5 Spark as a Thruster & their go-to smaller wave board.",,,,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Simon Anderson,Alley,8070,https://simonandersonsurfboards.com/surfboards/alley,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Generous nose & tail area, rounded square tail, vee deck to low rail, deep single concave, low - mid nose entry, slight flip towards tip, fins slightly forward.","Generous nose & tail area, rounded square tail, vee deck to low rail, deep single concave, low - mid nose entry, slight flip towards tip, fins slightly forward.",low rail,"Generous nose & tail area, rounded square tail, vee deck to low rail, deep single concave, low - mid nose entry, slight flip towards tip, fins slightly forward.",,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Simon Anderson,Alley Grom,8071,https://simonandersonsurfboards.com/surfboards/custom-only-boards/alley-grom/,Alternative Performance,Alternative Performance,performance_twin,,Twin | Quad,moderate,,Intermediate | Advanced | Expert,moderate,high_alternative,performance_twin | alternative | daily_driver,beginner | big_wave | competition | everyday | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy youth.,Super high performance small board model for young surfers looking to go to the next level of surfing. Same as the big brother Alley but in reduced dimensions.,,,,,medium,medium,proposed_for_owner_review,True,\bperformance twin\b; twin fin supporting evidence,,
Simon Anderson,Big S,8072,https://simonandersonsurfboards.com/surfboards/custom-only-boards/big-s/,Mid Length,Mid Length,mid_length,,Single | Two Plus One | Twin,weak,,Progressing | Intermediate | Advanced,high,flow_and_trim,mid_length | paddle_support | flow,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy mid_length.,"Big guy all-round surfboard with the right balance of volume to assure performance & paddling power. Fits on small wave face, maintains speed when you need it.",,,,,low,high,proposed_for_owner_review,False,current primaryFamily=Mid Length; \bmid[ -]?length\b,,
Simon Anderson,DSC & DSC VEE,8084,https://simonandersonsurfboards.com/surfboards/dsc-dsc-vee/,Mid Length,Mid Length,mid_length,,Single | Two Plus One | Twin,powerful,,Progressing | Intermediate | Advanced,high,flow_and_trim,mid_length | paddle_support | flow,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy mid_length.,"Designed for speed & life, balanced with control. Bigger surf DSC sets up wave from bottom turn, holds pure line, timing next move, or barrel section.",,,,,low,high,proposed_for_owner_review,False,current primaryFamily=Mid Length; \bmid[ -]?length\b,,
Simon Anderson,DTS,8073,https://simonandersonsurfboards.com/surfboards/custom-only-boards/dts5/,Performance Fish,Performance Fish,performance_fish,,Twin | Quad,weak,,Intermediate | Advanced | Expert,moderate_high,moderate_high,fish | performance_fish | small_wave | daily_driver,alternative | beginner | big_wave | competition | everyday | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy fish.,"DTS5 the new look has low to mid nose entry & tail rocker, deep single concave, low soft rail. DTS model is a wide tail rounded square fish style board.","DTS5 the new look has low to mid nose entry & tail rocker, deep single concave, low soft rail.",low soft rail,"DTS5 the new look has low to mid nose entry & tail rocker, deep single concave, low soft rail. DTS model is a wide tail rounded square fish style board.",,medium,high,proposed_for_owner_review,False,current primaryFamily=Performance Fish; \bperformance fish\b,,
Simon Anderson,Early Bird,8074,https://simonandersonsurfboards.com/surfboards/custom-only-boards/early-bird/,Hybrid Shortboard,All Round Daily Driver,daily_driver,hybrid_shortboard,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate,moderate,daily_driver | everyday,alternative | beginner | big_wave | competition | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy daily_driver.,"Early Bird designed as smaller wave all-rounder. Strong rocker, concave & vee & plan-shape generate easy speed to draw out turns or snap tight in the pocket.","Strong rocker, concave & vee & plan-shape generate easy speed to draw out turns or snap tight in the pocket.",,,,low,medium,proposed_for_owner_review,True,\bdaily driver\b; \ball[ -]?rounder\b,,
Simon Anderson,Face Dancer,8085,https://simonandersonsurfboards.com/surfboards/face-dancer,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Face Dancer holds steep take-off, release quickly from bottom-turn. Surf Face Dancer as Thruster, lively, slightly more predictable in 3-6' surf.",,,,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Simon Anderson,Face Dancer Step Up,8075,https://simonandersonsurfboards.com/surfboards/custom-only-boards/face-dancer-step-up/,Step Up,Reef Step Up,step_up,,Thruster,weak,,Advanced | Expert,moderate,high_powerful_wave,step_up | powerful_wave | hollow_wave,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | small_wave | small_wave_shortboard | softboard | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy step_up.,"Quad option stretched out Face Dancer with moderate rocker for bigger stronger surf at 3 to 6 feet. Low soft rail, shallower single concave to vee at the tail.","Quad option stretched out Face Dancer with moderate rocker for bigger stronger surf at 3 to 6 feet. Low soft rail, shallower single concave to vee at the tail.",Low soft rail,"Low soft rail, shallower single concave to vee at the tail.",,medium,high,proposed_for_owner_review,False,current primaryFamily=Step Up; \bstep[ -]?up\b,,
Simon Anderson,Fusion,8076,https://simonandersonsurfboards.com/surfboards/custom-only-boards/fusion/,Hybrid Shortboard,All Round Daily Driver,daily_driver,hybrid_shortboard,Thruster | Five Fin,weak,,Progressing | Intermediate | Advanced,moderate,moderate,daily_driver | everyday,alternative | beginner | big_wave | competition | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy daily_driver.,"Small wave all-rounder, increased volume in rail, nose, tail. Designed for the feel pros experience with manageable ratio paddling power to surfboard size....","Small wave all-rounder, increased volume in rail, nose, tail.",,"Small wave all-rounder, increased volume in rail, nose, tail.",,low,medium,proposed_for_owner_review,True,\bdaily driver\b; \ball[ -]?rounder\b,,
