CanonicalModelId,Brand,Model,PublicFamily,PrimaryCategory,Paddle,SpeedGeneration,Drive,Release,Hold,Forgiveness,Stability,Sensitivity,Glide,WeakWaves,PowerfulWaves,BeachBreak,PointBreak,ReefBreak,MinimumAbility,SourceMethod,PhysicalConfidence,BehaviourConfidence,ReviewRequired,ReviewNotes
8114,Album,Bom Dia,performance_shortboard,performance_twin,6,9,8,9,7,5,5,9,5,6,7,7,7,8,intermediate,explicit_manufacturer,high,high,False,Applied governed evidence rule: single concave. Applied governed evidence rule: vee.
8115,Album,Bullet,daily_driver,hybrid_shortboard,7,7,7,7,6,7,7,7,5,8,6,8,7,6,progressing,manufacturer_inference,medium,medium,False,
8116,Album,D'boa,fish,performance_fish,9,10,7,8,7,8,8,7,6,10,5,7,6,7,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: flatter rocker. Applied governed evidence rule: single concave.
8117,Album,Delma,fish,performance_fish,7,10,7,8,8,8,8,8,6,6,7,7,6,7,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: more rocker. Applied governed evidence rule: single concave.
8118,Album,Disorder,performance_shortboard,performance_shortboard,5,7,8,8,8,4,4,9,3,4,10,7,8,10,advanced,manufacturer_inference,medium,medium,False,
8119,Album,Fascination,fish,performance_fish,7,9,8,7,7,7,8,7,5,7,6,7,6,7,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: straighter outline.
8120,Album,Freewing,performance_shortboard,performance_shortboard,5,8,9,9,8,3,3,10,3,4,10,7,8,10,advanced,manufacturer_inference,medium,medium,False,
8121,Album,Insanity,performance_shortboard,performance_shortboard,5,9,9,10,8,3,3,10,3,4,10,7,8,10,advanced,manufacturer_inference,medium,medium,False,Applied governed evidence rule: single concave. Applied governed evidence rule: vee.
8123,Album,Lightbender,fish,performance_fish,7,8,8,7,7,7,7,8,5,7,6,7,6,7,progressing,manufacturer_inference,medium,medium,False,
8124,Album,Moonstone,fish,performance_fish,7,8,7,7,7,7,7,7,5,7,6,7,6,7,progressing,manufacturer_inference,medium,medium,False,
8125,Album,Plasmic,fish,performance_fish,7,10,8,8,7,7,7,7,5,7,6,7,6,7,progressing,explicit_manufacturer,high,high,False,Applied governed evidence rule: swallow tail. Applied governed evidence rule: single concave.
8126,Album,ProtoAtypical,performance_shortboard,performance_shortboard,5,9,9,10,8,4,4,10,3,4,10,7,8,10,advanced,manufacturer_inference,medium,medium,False,Applied governed evidence rule: single concave. Applied governed evidence rule: vee.
8127,Album,Sunstone,fish,traditional_fish,7,8,7,7,5,7,7,5,7,8,4,7,6,5,progressing,manufacturer_inference,medium,medium,False,
8128,Album,The End,mid_length,mid_length,10,10,7,7,7,8,9,5,10,8,5,6,8,7,beginner,manufacturer_inference,medium,medium,False,Applied governed evidence rule: flatter rocker. Applied governed evidence rule: single concave. Applied governed evidence rule: vee.
8129,Album,Townsend,step_up,step_up,6,7,9,5,9,5,6,7,5,3,8,5,8,8,progressing,manufacturer_inference,medium,medium,False,
8130,Album,Twinsman,performance_shortboard,performance_twin,6,9,8,9,7,5,5,9,5,6,7,7,7,8,intermediate,manufacturer_inference,medium,medium,False,Applied governed evidence rule: single concave. Applied governed evidence rule: vee.
8131,Album,VBSM,performance_shortboard,performance_shortboard,5,9,9,10,8,3,3,10,3,4,10,7,8,10,advanced,manufacturer_inference,medium,medium,False,Applied governed evidence rule: single concave. Applied governed evidence rule: vee.
8132,Album,Veebee,fish,performance_fish,10,10,7,9,7,8,9,7,6,8,6,7,6,7,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: paddle power. Applied governed evidence rule: single concave. Applied governed evidence rule: vee.
8133,Album,Warp Twin,performance_shortboard,performance_twin,6,9,7,9,7,5,5,8,5,6,7,7,7,8,intermediate,manufacturer_inference,medium,medium,False,Applied governed evidence rule: single concave. Applied governed evidence rule: vee.
7714,Channel Islands,average-joe,daily_driver,hybrid_shortboard,8,9,7,9,6,8,8,7,6,7,6,9,7,6,progressing,manufacturer_inference,medium,medium,False,Applied governed evidence rule: single concave. Applied governed evidence rule: vee.
7715,Channel Islands,better-everyday,daily_driver,performance_daily_driver,6,7,7,7,7,7,7,7,5,6,7,9,7,8,intermediate,manufacturer_inference,medium,medium,False,
