manufacturer,model,canonical_id,official_product_url,existing_primary_family,existing_design_subtype,proposed_primary_category,secondary_categories,fin_configuration,wave_power,wave_types,ability_range,paddle_profile,performance_profile,recommendation_lanes,excluded_lanes,source_summary,manufacturer_evidence,rocker_notes,rail_notes,tail_notes,key_trade_offs,source_confidence,classification_confidence,classification_status,changed_from_current,change_reason,review_decision,review_notes
JS Industries,Big Baron,7695,https://jsindustries.com/products/big-baron,Mid Length,Mid Length,mid_length,,Single | Two Plus One | Twin,moderate,,Progressing | Intermediate | Advanced,high,flow_and_trim,mid_length | paddle_support | flow,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated oversized twin classification.,"An instant classic, the Big Baron is inspired by the mid lengths that generations before us rode on the infamous Gold Coast points. This is paired with a more modern bottom contour and twin fin placement, then complemented by a neatly pulled in round tail for extra hold. Because on this board, you’ll be burning speed and burying rail. A lot of it.","Because on this board, you’ll be burning speed and burying rail.",,round tail,,medium,high,proposed_for_owner_review,False,current primaryFamily=Mid Length; \bmid[ -]?length\b,,
JS Industries,Big Baron Easy Rider,7704,https://jsindustries.com/products/big-baron-easy-rider-softboard,Softboard,Softboard,softboard,,Thruster,weak,,Beginner | Progressing,high,entry_level,softboard | beginner,alternative | big_wave | competition | daily_driver | everyday | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy softboard.,"Our Big Baron has been a global favourite for surfers of all ability levels for several years, and now we’ve scaled into even more generous EasyRider Dimensions. Along with a wider outline in the nose and tail, this creates an incredibly stable, forgiving board. Featuring a deck handle on all sizes 6’8”and above plus a centre line on the deck to make positioning simple for anyone, every single detail on the Big Baron EasyRider softboard is geared towards making each stage of surfing easier than ever. Compared to all of our other softboard models, the Big Baron EasyRider also has the flattest deck in the range to maintain volume and buoyancy. To build the best soft boards possible, we’ve kept it simple. Proven JS small wave shapes that you can actually manoeuvre, built to maximize durability and safety. It starts with the same top-quality materials and construction processes we use in our world-renowned JS range, including a Carbon T-stringer, 6oz+4oz glass on the deck and 6oz glass on the bottom. It is finished with a soft 3mm PE shell on the deck, plus a reinforced HD PE bottom.",,,"Along with a wider outline in the nose and tail, this creates an incredibly stable, forgiving board. Featuring a deck handle on all sizes 6’8”and above plus a centre line on the deck to make positioning simple for anyone, every single detail on the Big Baron EasyRider softboard is geared towards making each stage of surfing easier than ever.",,medium,high,proposed_for_owner_review,False,current primaryFamily=Softboard; \bsoft ?board\b,,
JS Industries,Big Baron Softboard,7705,https://jsindustries.com/products/big-baron-softboard,Softboard,Softboard,softboard,,Thruster,weak,,Beginner | Progressing,high,entry_level,softboard | beginner,alternative | big_wave | competition | daily_driver | everyday | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy softboard.,"JS presents the Big Baron Softboard as a durable, higher-volume softboard for small waves and shared family use. The official description highlights a soft outer shell, EPS core, flatter rocker, generous foam distribution and a thruster setup that can also be ridden as a twin or two-plus-one.",,,,,medium,high,proposed_for_owner_review,False,current primaryFamily=Softboard; \bsoft ?board\b,,
JS Industries,Big Horse,7686,https://jsindustries.com/products/big-horse,Step Up,Reef Step Up,step_up,,Thruster,moderate,,Advanced | Expert,moderate,high_powerful_wave,step_up | powerful_wave | hollow_wave,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | small_wave | small_wave_shortboard | softboard | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy step_up.,"When swell is on the way and it’s time to put the head down and go, saddle up the Big Horse",,,,,medium,high,proposed_for_owner_review,False,current primaryFamily=Step Up; \bstep[ -]?up\b,,
JS Industries,Black Baron,7696,https://jsindustries.com/products/black-baron,Performance Fish,Performance Fish,performance_fish,performance_twin | performance_shortboard,Twin | Quad,moderate,,Intermediate | Advanced | Expert,moderate_high,moderate_high,fish | performance_fish | small_wave | daily_driver,alternative | beginner | big_wave | competition | everyday | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated performance twin-fish classification.,"An all-time favourite returns. Our original Black Baron was the first twin fin ever released in the JS range, coinciding with Parko’s focus on the pure enjoyment of surfing after retiring from the world tour. Since then we’ve continued to ride it everywhere, and with more requests than any other board to return to the range - now it’s finally back.",,,,,high,high,proposed_for_owner_review,False,current primaryFamily=Performance Fish; \bperformance fish\b,,
JS Industries,Black Eagle 2,7703,https://jsindustries.com/products/black-eagle-2,Alternative Performance,Alternative Performance,performance_twin,,Twin | Quad,moderate,,Intermediate | Advanced | Expert,moderate,high_alternative,performance_twin | alternative | daily_driver,beginner | big_wave | competition | everyday | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy foil.,"Foiling has evolved into a completely unique way to enjoy the ocean over the past few years, and the best equipment is evolving with it. With an extensive R&D process to refine the next generation of foil boards, for this new edition, JS & athletes have decided to remove the previous tail pod and create a shape that can flow seamlessly through even the steepest sections.",,,"With an extensive R&D process to refine the next generation of foil boards, for this new edition, JS & athletes have decided to remove the previous tail pod and create a shape that can flow seamlessly through even the steepest sections.",,medium,medium,proposed_for_owner_review,True,\bperformance twin\b; twin fin supporting evidence,,
JS Industries,Bull Run,7697,https://jsindustries.com/products/bull-run,Daily Driver,All Round Daily Driver,daily_driver,,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate,moderate,daily_driver | everyday,alternative | beginner | big_wave | competition | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated user-friendly shortboard classification.,"The Bull Run is a step-down fun board that’s incredibly user friendly but still performance oriented, designed to be your go-to surfboard in waves up to head high.",,,,,medium,high,proposed_for_owner_review,False,current primaryFamily=Daily Driver; \bdaily driver\b,,
JS Industries,Bull Run Softboard,7706,https://jsindustries.com/products/bull-run-softboard,Softboard,Softboard,softboard,,Thruster,weak,,Beginner | Progressing,high,entry_level,softboard | beginner,alternative | big_wave | competition | daily_driver | everyday | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy softboard.,"The Bull Run is built for surfers who want a generous outline with a full nose, providing more stability, easier paddling and extra momentum down the line. While less extreme than our dedicated super grovellers, you’ll be able to get plenty of volume hidden in a much shorter board.",,,,,medium,high,proposed_for_owner_review,False,current primaryFamily=Softboard; \bsoft ?board\b,,
JS Industries,El Baron,7694,https://jsindustries.com/products/el-baron,Performance Twin,Performance Twin,performance_twin,,Twin,moderate,,Intermediate | Advanced | Expert,moderate,high_alternative,performance_twin | alternative | daily_driver,beginner | big_wave | competition | everyday | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated Baron-family twin classification.,"The head honcho of the Baron family – the El Barón features a stretched out Big Baron outline that’s ridden narrower, with slightly more rocker and modern concaves to handle more speed and versatility. It’s a subtle single to double, featuring a “reverse concave” – one of Jason’s favourite designs. This means it’s a deeper concave in the middle, with slightly shallower concave in the nose and tail to help with water flow for maximum drive. Similar to the Big Baron, riding El Barón will naturally smooth out your surfing and translate almost immediately to the shorter, more high-performance boards that most of us want to ride when conditions (and mood) align.","The head honcho of the Baron family – the El Barón features a stretched out Big Baron outline that’s ridden narrower, with slightly more rocker and modern concaves to handle more speed and versatility.",,"This means it’s a deeper concave in the middle, with slightly shallower concave in the nose and tail to help with water flow for maximum drive.",,medium,high,proposed_for_owner_review,False,current primaryFamily=Performance Twin; \bperformance twin\b; twin fin supporting evidence,,
JS Industries,Flame Fish,7699,https://jsindustries.com/products/flame-fish,Fish,Twin Fin Fish,traditional_fish,,Twin,weak,,Intermediate | Advanced,high,flow_and_speed,fish | traditional_fish | weak_wave | flow,alternative | beginner | big_wave | competition | daily_driver | everyday | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | twin_pin,Curated small-wave fish classification.,"The Flame Fish is designed for surfers who want to get the most out of even the weakest conditions. Whether you’re dedicated, or just downright desperate for waves, the Flame Fish sits apart in your quiver to maximise speed and ability to throw down manoeuvres. It’s not a jack of all trades, but the master of one – the small stuff.",,,,,medium,review_required,hold_for_owner_review,False,current primaryFamily=Fish,,
