manufacturer,model,canonical_id,official_product_url,existing_primary_family,existing_design_subtype,proposed_primary_category,secondary_categories,fin_configuration,wave_power,wave_types,ability_range,paddle_profile,performance_profile,recommendation_lanes,excluded_lanes,source_summary,manufacturer_evidence,rocker_notes,rail_notes,tail_notes,key_trade_offs,source_confidence,classification_confidence,classification_status,changed_from_current,change_reason,review_decision,review_notes
Misfit Shapes,(NEO) SPEED EGG,8049,https://misfitshapes.com/collections/current-models/products/neo-speed-egg,Softboard,Softboard,mid_length,softboard,Thruster,weak,,Beginner | Progressing,high,flow_and_trim,mid_length | paddle_support | flow,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy softboard.,"Although never released, we have been playing with this model for over 10 years. So it's old in design, but new (neo) from us. It is also the base planshape of our upcoming mid-length 'softboard' (more on that to come...). So here it finally is, the mid-length shape we always seem to circle back to, a classic ‘SPEED EG",,,ROUND,,medium,medium,proposed_for_owner_review,True,\bmid[ -]?length\b; \bspeed egg\b,,
Misfit Shapes,BEACH CLOUD,8045,https://misfitshapes.com/collections/current-models/products/beach-cloud,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"The second of our ‘Modern Cloud Control’ Collection with an overall design emphasis on free-flowing, progressive shapes, the ‘BEACH CLOUD’ is a modern take on a classic twin fin feel. As the name suggests, it has the same gaseous qualities as early evening Chanel perfume, late-night sea fog and loud sneezes at dusk.",,,SWALLOW,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Misfit Shapes,BEACH METALL,8046,https://misfitshapes.com/collections/current-models/products/beach-metall,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Part of our 2018 ‘Modern Cloud Control 3’ Collection, the ‘BEACH METALL’ reflects our continued desire to advance performance ‘twin fins’, with this model being the most contemporary, and damn lively one to date. We’ve straightened the rail line from mid point to flyer providing even more drive. The flyer, or wing then",We’ve straightened the rail line from mid point to flyer providing even more drive.,,FLYER SWALLOW,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Misfit Shapes,BEACH METALL RND,8047,https://misfitshapes.com/collections/current-models/products/beach-metall-rnd,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Released in our 2018 ‘Modern Cloud Control 3’ Collection, the original flyer swallow ‘BEACH METALL’ reflected our desire to continue advancing ‘performance’ twin fins. In the winter of 2019, we introduced it’s round (RND) tail sister model to further facilitate the same contemporary twin fin approach but this time in f",,,ROUND,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Misfit Shapes,BULL DOVE 2,8039,https://misfitshapes.com/collections/current-models/products/bull-dove-2,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"The globally travelled, highly rated ‘BULL DOVE’ returns after much anticipation. The name still suggests it all; a raging “bull”, but perfectly tamed by timeless shortboard design and clean, pure lines, hence the “dove” part of the title. Well, that and the fact that we wanted to pay homage to our powerhouse model sig",,,"RND SQUARE, RND",,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Misfit Shapes,DOPE MACHINE,8044,https://misfitshapes.com/collections/current-models/products/dope-machine,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Unrivalled, unprecedented, pure fun; the ‘DOPE MACHINE’ is the first of our collaboration series with long time ‘MAD MINDS’ Advocate George Henderson of ‘A DEAD COFFIN CLUB’. Fundamentally, it is a combination of a classic high wide point fun-board, almost reminiscent of a 70’s single fin spawned with a modern proggy f",,,DIAMOND - ROUND,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Misfit Shapes,DRIB,8040,https://misfitshapes.com/collections/current-models/products/drib,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Hingy's got a Signature Model.I reckon most surfers dream of having a surfboard model bearing their name, but very few get to realize it. In recent years we've endeavoured to bring more of our fam into the design suite to create boards they are proud to call theirs and ones that reflect their approach to surfing.Suns",,,ROUND,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Misfit Shapes,ERASER HEAD,8042,https://misfitshapes.com/collections/current-models/products/eraser-head,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Our beloved Guadeloupean National Tito LaVole has his first M/SF/T Signature model, aptly named 'ERASER HEAD', an ode to David Lynch's 1977 horror film of the same name. This board has been nearly 2 years in development and has taken many turns in design. It started as a round tail twin fin with flyers and a deep quad",,,ROUND SQUARE,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Misfit Shapes,FUNGZETTI,8041,https://misfitshapes.com/collections/current-models/products/fungzetti,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Mitch Coleborn is a surfer's surfer. His credibility amongst the surfing fraternity's core has been defined by his game-changing appearances in surf films like Modern Collective, Cluster, BS! and Stranger Than Fiction. His power & aggression, yet poise embodies surfing's definition from other board sports. His exte",,,SWALLOW,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Misfit Shapes,LONGUS,8050,https://misfitshapes.com/collections/current-models/products/longus,Mid Length,Mid Length,mid_length,,Single | Two Plus One | Twin,moderate,,Progressing | Intermediate | Advanced,high,flow_and_trim,mid_length | paddle_support | flow,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy mid_length.,"This model was originally planned to be called the LONG CLOUD, derived from its extended length on base model the BEACH CLOUD. But long cloud felt more like the name of a weather pattern. It’s not like “warm day” is a sexy name for pair of pants, long cloud wasn’t sexy enough either. So, we landed on ‘LONGUS’, derived",,,SWALLOW,,low,high,proposed_for_owner_review,False,current primaryFamily=Mid Length; \bmid[ -]?length\b,,
