manufacturer,model,canonical_id,official_product_url,existing_primary_family,existing_design_subtype,proposed_primary_category,secondary_categories,fin_configuration,wave_power,wave_types,ability_range,paddle_profile,performance_profile,recommendation_lanes,excluded_lanes,source_summary,manufacturer_evidence,rocker_notes,rail_notes,tail_notes,key_trade_offs,source_confidence,classification_confidence,classification_status,changed_from_current,change_reason,review_decision,review_notes
DHD,Black Diamond,7824,https://dhdsurf.com/products/black-diamond,Daily Driver,All Round Daily Driver,daily_driver,,Thruster | Five Fin,weak,,Progressing | Intermediate | Advanced,moderate,moderate,daily_driver | everyday,alternative | beginner | big_wave | competition | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated forgiving daily-driver classification.,"Info The Black Diamond is DHD’s true all-rounder — a genuine one-board quiver designed to handle almost anything you’re likely to surf. With extra flotation through the front half for easy paddling and wave entry, it stays forgiving and user-friendly in small, weak surf, while still offering enough performance to handle steeper, better waves when they turn on. It’s a board that covers a lot of ground and suits a wide range of surfers and conditions. Ability: Beginner to AdvancedIdeal Wave Size: 1–6ft+Wave Type: All conditions Size Reference Ride it around your standard shortboard length. The added volume and width up front improve paddle power and make it forgiving across a broad range of surfers, without needing to oversize.",,,,,medium,high,proposed_for_owner_review,False,current primaryFamily=Daily Driver; \bdaily driver\b; \bone-board quiver\b; \ball[ -]?rounder\b,,
DHD,Black Diamond EPS,7823,https://dhdsurf.com/products/black-diamond-eps,Hybrid Shortboard,All Round Daily Driver,daily_driver,hybrid_shortboard,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate,moderate,daily_driver | everyday,alternative | beginner | big_wave | competition | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy daily_driver.,The Black Diamond is our favourite all-rounder that can do a bit of everything. Packed with extra flotation for easy paddling and entries but still loaded with all the performance needed when the waves turn on. Now available in our stringered EPS construction. Ability — Beginner to Advanced Ideal Wave Size — 1-6ft + Wave Type — All Conditions,,,,,low,medium,proposed_for_owner_review,True,\bdaily driver\b; \ball[ -]?rounder\b,,
DHD,Black Diamond Soft Top,7807,https://dhdsurf.com/products/black-diamond-soft-top,Daily Driver,All Round Daily Driver,daily_driver,,Thruster | Five Fin,weak,,Progressing | Intermediate | Advanced,moderate,moderate,daily_driver | everyday,alternative | beginner | big_wave | competition | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy daily_driver.,"Info The Black Diamond is DHD’s true all-rounder - a genuine one-board quiver designed to handle almost anything you’re likely to surf, and it's now available in our Soft Top construction! With extra flotation through the front half for easy paddling and wave entry, it stays forgiving and user-friendly in small, weak surf, while still offering enough performance to handle steeper, better waves when they turn on. It’s a board that covers a lot of ground and suits a wide range of surfers and conditions. Ability: Beginner to AdvancedIdeal Wave Size: 1–6ft+Wave Type: All conditions Size Reference Ride it around your standard shortboard length. The added volume and width up front improve paddle power and make it forgiving across a broad range of surfers, without needing to oversize.",,,,,medium,high,proposed_for_owner_review,False,current primaryFamily=Daily Driver; \bdaily driver\b; \bone-board quiver\b; \ball[ -]?rounder\b,,
DHD,EE Juliette,7812,https://dhdsurf.com/products/ee-juliette-eps,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,powerful,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"The Juliette is Ethan Ewing's update file that he rode to success at his historical win at Bells in 2023 and showed off its moves at Trestles during the finals, securing Ethan a solid world #2 ranking that same year. The Juliette still sits in the DNA family with more nose and tail rocker that helps with tighter turns and puts you in the pocket. Now available in our stringered EPS construction.",The Juliette still sits in the DNA family with more nose and tail rocker that helps with tighter turns and puts you in the pocket.,,The Juliette still sits in the DNA family with more nose and tail rocker that helps with tighter turns and puts you in the pocket.,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
DHD,EE Juliette Jnr,7809,https://dhdsurf.com/products/ee-juliette-eps-jnr,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,powerful,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"The Juliette Jnr EPS is simply a smaller version of the Stab in the Dark winning board, The Juliette, in our Stringered EPS Construction. The Juliette is Ethan Ewing's update file that he rode to success at his historical win at Bells in 2023 and showed off its moves at Trestles during the finals, securing Ethan a solid world #2 ranking that same year. The Juliette still sits in the DNA family with more nose and tail rocker that helps with tighter turns and puts you in the pocket. Now available in our stringered EPS construction.",The Juliette still sits in the DNA family with more nose and tail rocker that helps with tighter turns and puts you in the pocket.,,The Juliette still sits in the DNA family with more nose and tail rocker that helps with tighter turns and puts you in the pocket.,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
DHD,Interceptor,7816,https://dhdsurf.com/products/interceptor,Mid Length,Mid Length,mid_length,,Single | Two Plus One | Twin,moderate,,Progressing | Intermediate | Advanced,high,flow_and_trim,mid_length | paddle_support | flow,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy mid_length.,"The DHD Interceptor is Darren's version of a mid length, it's designed for the surfer who wants an easy paddle, smooth line's and tighter turns for avoiding traffic in the lineup. Ability — Beginner to Advanced Ideal Wave Size — 1 to 6 Ft Wave Type — Small to Double Over Head",,,,,medium,high,proposed_for_owner_review,False,current primaryFamily=Mid Length; \bmid[ -]?length\b,,
DHD,MF Bolt,7805,https://dhdsurf.com/products/ziggy-mackenzie-mf-bolt-53-118336,Daily Driver,All Round Daily Driver,daily_driver,,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate,moderate,daily_driver | everyday,alternative | beginner | big_wave | competition | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy daily_driver.,"This is one of Ziggy MacKenzie's MF Bolts from her 2026 Junior Season. Lightly used, specs are: 5'3 x 17 1/8 x 2 1/16 @ 19.5L For groms who want to go fast! The MF Bolt is a lively ‘all-rounder’ that lets younger surfers go hard while being super easy to surf. It’s basically a scaled-down version of Mick Fanning’s popular ‘Lightning’ model. Your versatile performance board designed for everyday conditions. We do not offer warranties on these items, and all sales are final. By purchasing, you acknowledge the unique, pre-loved condition of these team-tested boards. For more info on our Ex-Team boards, or to shop more, please visit our Ex-Team Surfboards page.",,,,,low,high,proposed_for_owner_review,False,current primaryFamily=Daily Driver; \bdaily driver\b; \ball[ -]?rounder\b,,
DHD,MF DNA,7801,https://dhdsurf.com/products/ziggy-mackenzie-mf-dna-53-112274,High Performance Shortboard,Competition HPSB,performance_shortboard,,Thruster,moderate,,Advanced | Expert,low_moderate,very_high,performance_shortboard | good_wave | competition,alternative | beginner | big_wave | daily_driver | everyday | fish | flow | forgiving_shortboard | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated high-performance classification.,"This is one of Ziggy MacKenzie's DNA surfboards from her 2025 Junior Season. Lightly used, specs are: 5'3 x 17 1/8 x 2 1/16 @ 19L The ‘DNA’ is Mick’s go to competition board. This board has the exact design and construction that Mick surfs in competition. With a single to double concave through the fins, it has plenty of drive. The MF signature rocker also combines entry rocker with a nice amount of tail kick for plenty of speed. Built for intermediate to expert surfers, this board is suitable in 3-6ft rippable waves. We do not offer warranties on these items, and all sales are final. By purchasing, you acknowledge the unique, pre-loved condition of these team-tested boards. For more info on our Ex-Team boards, or to shop more, please visit our Ex-Team Surfboards page.",The MF signature rocker also combines entry rocker with a nice amount of tail kick for plenty of speed.,,The MF signature rocker also combines entry rocker with a nice amount of tail kick for plenty of speed.,,medium,high,proposed_for_owner_review,False,current primaryFamily=High Performance Shortboard; \bhigh performance shortboard\b; \bperformance shortboard\b; \bhpsb\b,,
DHD,MF DNA Jnr,7821,https://dhdsurf.com/products/mf-dna-jnr,High Performance Shortboard,Competition HPSB,performance_shortboard,,Thruster,moderate,,Advanced | Expert,low_moderate,very_high,performance_shortboard | good_wave | competition,alternative | beginner | big_wave | daily_driver | everyday | fish | flow | forgiving_shortboard | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy performance_shortboard.,"Info The MF DNA is Mick Fanning’s proven high-performance shortboard for quality waves. Built for control, flow, and precision, it’s the board Mick relied on during his competitive career at events like Bells, Snapper and France. It excels in bigger, punchier surf, but in the right hands it can still come alive in smaller conditions. Quick Size Reference Mick, currently weighs 80kg and is 5’ 10”, typically rides a 5' 10"" DNA for 3-6ft Snapper and D’Bah. We recommend you order this board the same length as your standard performance short board.",,,,,medium,high,proposed_for_owner_review,False,current primaryFamily=High Performance Shortboard; \bhigh performance shortboard\b; \bperformance shortboard\b; \bhpsb\b,,
DHD,MF Lightning,7802,https://dhdsurf.com/products/francisca-velekos-mf-lightning-57-122335,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,weak,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"This is one of Francisca Velesko's early development MF Lightning shortboards from his 2025 Season. Moderately used, specs are: 5'7 x 18 3/8 x 2 3/8 @ 25.5L The MF Lightning is one of those once-in-a-lifetime boards that earns a permanent place in the rack. Born from Mick Fanning’s original CT-winning DNA model, it keeps the same proven foundation but has been fine-tuned for more everyday spark. Mick worked closely with Darren post-retirement to create a faster, sharper version that thrives in smaller, weaker surf, but still holds its own when things get bigger but lack push. We do not offer warranties on these items, and all sales are final. By purchasing, you acknowledge the unique, pre-loved condition of these team-tested boards. For more info on our Ex-Team boards, or to shop more, please visit our Ex-Team Surfboards page.",,,,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
