manufacturer,model,canonical_id,official_product_url,existing_primary_family,existing_design_subtype,proposed_primary_category,secondary_categories,fin_configuration,wave_power,wave_types,ability_range,paddle_profile,performance_profile,recommendation_lanes,excluded_lanes,source_summary,manufacturer_evidence,rocker_notes,rail_notes,tail_notes,key_trade_offs,source_confidence,classification_confidence,classification_status,changed_from_current,change_reason,review_decision,review_notes
Lost,3.0 Stub Driver,7825,https://lostsurfboards.com.au/products/3-0-stub-driver-black-sheep,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver | performance_shortboard,Thruster | Five Fin,weak,beach_break,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"3.0 STUB The 3.0 STUB is a direct derivative of the long-time-developed, DRIVER 3.0. A board designed with elite-level surfers chasing the ""Ultimate Driving Machine."" Primarily tested in and around the waves of the World Tour (not necessarily the typical 1′-3' soft slop that most of us battle through daily), the DRIVER 3.0 still left room at the lower end for top-tier performance in lesser waves. Enter the 3.0 STUB—a stepped-down, stubbed-out, small-wave-ripping machine that delivers low-end, high-performance surfing. Unlike the Sub-Driver (our other step-down performance board), the 3.0 STUB ditches the vee in the tail. Instead, it features a continuous rocker/concave combination—this is the primary difference between the two. While noticeably more relaxed than the DRIVER 3.0's rocker, it's still loose, lively, fast, and quick to release under the rear foot. It fits more effortlessly into tight pockets and quick, dumpy sections than the Sub-Driver, making it perfect for small beach breaks. The similarities in rocker, bottom contours, and outline ensure a seamless transition between the DRIVER 3.0 and the 3.0 STUB. That was the goal, and that's exactly what we achieved. Relaxed entry rocker, with a slightly wider nose area. Relaxed tail rocker, with a slight hip and a wider tail block (but not as wide as the Sub-Driver). More overall width, with thickness carried further into t",Relaxed entry rocker,forgiving rails,"Enter the 3.0 STUB—a stepped-down, stubbed-out, small-wave-ripping machine that delivers low-end, high-performance surfing. Unlike the Sub-Driver (our other step-down performance board), the 3.0 STUB ditches the vee in the tail.",,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Lost,3.0 Stub Thumb,7826,https://lostsurfboards.com.au/products/30-stub-thumb,High Performance Shortboard,Competition HPSB,performance_shortboard,,Thruster,moderate,beach_break,Advanced | Expert,low_moderate,very_high,performance_shortboard | good_wave | competition,alternative | beginner | big_wave | daily_driver | everyday | fish | flow | forgiving_shortboard | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy performance_shortboard.,"3.0 Stub Thumb Driver All new, every day, step-down, performance player, further developed with Kolohe Andino. The 3.0 STUB is a direct derivative of the DRIVER 3.0. Building upon the stoke and success of the 2023's 3.0 Stub Driver, we wanted to expand and extend the offering in this user-friendly high-performance player. The easiest and most obvious, way to do so, was by making it available as a ""Stubbed Thumb"" tail. The round, or ""Thumb"" tail, has soared in popularity, recently, in the performance surfing world, with most World Tour and even Challenger Series surfers, opting for its no-frills, predictable and precise mannerisms. ""The first Stubbed Thumbs I made were for my son, River and then went up from there. All the way to the big boss, Kolohe Andino, who is currently using it as his go-to shortboard."" - Matt Biolos. Design Updates: Reduction of surface area, by transitioning from bump squash to Thumb Tail Slightly pulled in nose Slightly thinned out tail‚ and that's about it. Same rocker and concave. Same rails and overall design concept. A stepped-down and‚ stubbed‚ low-end/high-performance, smaller wave-ripping machine. The Thumb tail tends to fit more effortlessly into small pockets on quick dumpy sections, than the squash tail can. It also offers better hold when served up a high-speed wall with opportunities for an open face carves. Perfect for small kinky beach bre",Same rocker and concave. Same rails and overall design concept.,,Thumb Tail,,medium,high,proposed_for_owner_review,False,current primaryFamily=High Performance Shortboard; \bhigh performance shortboard\b; \bperformance shortboard\b; \bhpsb\b; \bworld tour\b,,
Lost,3.0 Stub Thumb Driver,7827,https://lostsurfboards.com.au/products/30-stub-driver-blacksheep,High Performance Shortboard,Competition HPSB,performance_shortboard,,Thruster,moderate,beach_break,Advanced | Expert,low_moderate,very_high,performance_shortboard | good_wave | competition,alternative | beginner | big_wave | daily_driver | everyday | fish | flow | forgiving_shortboard | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy performance_shortboard.,"All new, every day, step-down, performance player, further developed with Kolohe Andino. The 3.0 STUB is a direct derivative of the DRIVER 3.0. Building upon the stoke and success of the 2023's 3.0 Stub Driver, we wanted to expand and extend the offering in this user-friendly high-performance player. The easiest and most obvious, way to do so, was by making it available as a ""Stubbed Thumb"" tail. The round, or ""Thumb"" tail, has soared in popularity, recently, in the performance surfing world, with most World Tour and even Challenger Series surfers, opting for its no-frills, predictable and precise mannerisms. ""The first Stubbed Thumbs I made were for my son, River and then went up from there. All the way to the big boss, Kolohe Andino, who is currently using it as his go-to shortboard."" - Matt Biolos. Design Updates: Reduction of surface area, by transitioning from bump squash to Thumb Tail Slightly pulled in nose Slightly thinned out tail‚ and that's about it. Same rocker and concave. Same rails and overall design concept. A stepped-down and‚ stubbed‚ low-end/high-performance, smaller wave-ripping machine. The Thumb tail tends to fit more effortlessly into small pockets on quick dumpy sections, than the squash tail can. It also offers better hold when served up a high-speed wall with opportunities for an open face carves. Perfect for small kinky beach breaks and good for arcin",Same rocker and concave. Same rails and overall design concept.,,Thumb Tail,,medium,high,proposed_for_owner_review,False,current primaryFamily=High Performance Shortboard; \bhigh performance shortboard\b; \bperformance shortboard\b; \bhpsb\b; \bworld tour\b,,
Lost,Beach Buggy 2,7828,https://lostsurfboards.com.au/products/beachbuggy2,Performance Daily Driver,Performance Daily Driver,daily_driver,performance_daily_driver,Thruster | Five Fin,moderate,,Intermediate | Advanced,moderate,moderate,daily_driver | everyday,alternative | beginner | big_wave | competition | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy daily_driver.,"""AN ALL NEW, UPDATED TWIST TO OUR ALL-TIME BEST SELLING AUSTRALIAN HIGH PERFORMANCE SHORT BOARD""-MATT BIOLOS After ""retiring"" Taj spent the last couple of years free from the constraints of judged contest surfing. A free mind is a creative mind and Taj took this time to expand his mind and experiment with developing new ideas for his trademark brand of performance surfing. The result is this. The Beach Buggy-2. An all-new updated twist to our all-time best selling Australian HP-Shortboard. The Beach Buggy-2 features updated curves in nearly all aspects of the design: -Relaxed central rocker, with forgiving catch-free nose lift. -A wider nose and tail block -Refined single and double concaves -Fuller, more forgiving rails, with a defined thin and boxy tail -Re-envisioned thickness flow, with added thickness upfront. -Taj's signature (generous) tail rocker and exaggerated hip squash remain. Ease of speed with tack-sharp reactive turning is what Taj and the Beach Buggy-2 is all about. Key Points: -All-rounder -Fast, precise and drivey -Suited to all surfers","The Beach Buggy-2 features updated curves in nearly all aspects of the design: -Relaxed central rocker, with forgiving catch-free nose lift. -A wider nose and tail block -Refined single and double concaves -Fuller, more forgiving rails, with a defined thin and boxy tail -Re-envisioned thickness flow, with added thickness upfront.",forgiving rails,"A free mind is a creative mind and Taj took this time to expand his mind and experiment with developing new ideas for his trademark brand of performance surfing. -A wider nose and tail block -Refined single and double concaves -Fuller, more forgiving rails, with a defined thin and boxy tail -Re-envisioned thickness flow, with added thickness upfront.",,low,medium,proposed_for_owner_review,True,\bdaily driver\b; \ball[ -]?rounder\b,,
Lost,Big Rig Driver,7829,https://lostsurfboards.com.au/products/big-rig-driver,Performance Fish,Performance Fish,performance_fish,performance_shortboard,Twin | Quad,moderate,,Intermediate | Advanced | Expert,moderate_high,moderate_high,fish | performance_fish | small_wave | daily_driver,alternative | beginner | big_wave | competition | everyday | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy fish.,"""Pro-fromance Series shortboards need not be just for young men and little boys"" Not since the El Patron, back in 2018, have we released a large-scale, high-volume, Pro-Formance Series Shortboard. The BIG RIG is focused on Larger and/or aging shortboard enthusiasts who don't want to give way to Hybrids, Mids or Fish. We know we can still ride a HPSB, but can we navigate crowded line-ups or catch waves in pressure situations? With that question in mind, we went to work on the BIG RIG. A direct derivative of the DRIVER 3.0 and DRIVER 2.0, scaled up, but not dummied down, for bigger and (of course) older surfers, who still wanna rip. Fight fight fight to that dying last light! Motivated by the growing amount of custom orders we've been receiving for larger-scale Pro-fromance Series Shortboards, like the DRIVER series, and seeing a demand to offer them to a bigger audience. Inspired by the incredible surfing of Cole Houseman and his 6'4""/220lb frame, we started by dissecting the boards we've been building him over the last 3-few years. Cole is a young, fit athlete and world-class surfer, so we figured similar boards could be great for smaller, but older, moderately skilled surfers, in the 175-190lb range, then scale up and down from there. The sky is the limit. The BIG RIG…Driver retains most of the design elements of Coles (and our other elite team riders) boards: Thicker centreli","The BIG RIG…Driver retains most of the design elements of Coles (and our other elite team riders) boards: Thicker centreline, with rolled deck and smooth sloping ""not to boxy"" rails. Continuous rocker that accelerates through the tail, under the rear foot, but relaxes in the entry rocker.",,"The BIG RIG…Driver retains most of the design elements of Coles (and our other elite team riders) boards: Thicker centreline, with rolled deck and smooth sloping ""not to boxy"" rails. Continuous rocker that accelerates through the tail, under the rear foot, but relaxes in the entry rocker.",,medium,high,proposed_for_owner_review,False,current primaryFamily=Performance Fish; \bperformance fish\b,,
Lost,Cali Twin,7830,https://lostsurfboards.com.au/products/calitwinlightspeedeps,Performance Twin,Performance Twin,performance_twin,,Twin,weak,,Intermediate | Advanced | Expert,moderate,high_alternative,performance_twin | alternative | daily_driver,beginner | big_wave | competition | everyday | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated performance twin classification.,"Introducing the MR x Matt Biolos California Twin Fin Collaboration. Now in Light Speed Epoxy Construction A Modern, single to double concave, twin + trailer based off MR most popular modern shortboard...The SuperTwin.Matt Biolos "" Mark R ic hards allowed me the honor of tweaking his iconic #SuperTwin model to create a modern, user friendly, small wave weapon. We dramatically lowered the entry rocker, widened the nose and tail block, and added a couple inches of width to the overall outline, giving gobs of glide in gutless surf. We flattened the deck for stability, but retained MR's classic speedy, down soft rails and his modern performance tail rocker. Ensuring it still turns proper and precise. Flat where it needs to be, but still curvy in the right spots, and skates along but still turns in tight spots. This is a Fish that you can grovel the small stuff, but still really rip on"". The Cali Twin is flat where it needs to be, but still curvy in the right places. This fish design allows you to grovel in the small stuff, but still perform when the waves are a little bigger. LightSpeed EPS Tech Light Speed is our proprietary surfboard construction built with lightweight EPS foam and high strength epoxy resin. LightSpeed uses a combination of Rapid-Reflex Carbon Fiber as well vibration dampening Innegra-Fibers, woven into the finest custom performance fiberglass cloth. Like the name",lowered the entry rocker,soft rails,"We dramatically lowered the entry rocker, widened the nose and tail block, and added a couple inches of width to the overall outline, giving gobs of glide in gutless surf. We flattened the deck for stability, but retained MR's classic speedy, down soft rails and his modern performance tail rocker.",,medium,high,proposed_for_owner_review,False,current primaryFamily=Performance Twin; \bperformance twin\b; twin fin supporting evidence,,
Lost,Cali Twin Pin,7831,https://lostsurfboards.com.au/products/calitwinpin,Performance Twin,Performance Twin,performance_twin,step_up | twin_pin | performance_shortboard,Twin,powerful,,Intermediate | Advanced | Expert,moderate,high_alternative,performance_twin | alternative | daily_driver,beginner | big_wave | competition | everyday | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated twin-pin classification.,"The all-new California Twin Pin is a natural extension of the wildly popular California Twin. A design collaboration between the legendary, 4x World Champion surfer/shaper, Mark Richards and Matt ""Mayhem"" Biolos. The California Twin, with its winged swallow tail, wide forward outline, low entry rocker and deep single to double concave bottom, quickly became a favourite for a wide array of skill level surfers. From up n coming Pros, to aging Bros, it's been a resounding success, around the world. As time goes on, multiple requests for customizing the design for greater performance and confidence in a wider range of waves, started coming from passionate Cali Twin converts. The Cali Twin is the result of those custom orders and requests. A souped up and slightly sleeked out, all-around performance vehicle, with stock dims designed to be ridden 1-2"" longer than the original Cali Twin. Not a true step up, but more of a bridge between squatty/speedy fish and a proper performance shortboard, equally at home in punchy, stomach-high shoreys or running overhead reef passes and point breaks. To do this, we began with the Cali Twin and… -Lengthened 1"", subtlety increased nose rocker and gently pulled in the forward 1/3 of the outline. -Added some thickness through the centre line, to maintain paddle power, but rolled the deck line, to maintain a modest rail. -Pulled in the ""hips"" of the ou",low entry rocker,,swallow tail,,medium,medium,proposed_for_owner_review,False,current primaryFamily=Performance Twin; \bperformance twin\b; twin fin supporting evidence,,
Lost,California Mid,7832,https://lostsurfboards.com.au/products/california-mid,Mid Length,Mid Length,mid_length,,Single | Two Plus One | Twin,weak,,Progressing | Intermediate | Advanced,high,flow_and_trim,mid_length | paddle_support | flow,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy mid_length.,"The MR x Mayhem California Mid ""Age gracefully on this latest mash-up, between MR and Mayhem. The California Mid, a logical (and literal) extension, of the Ca-Twin."" Spearheaded by MR and his core customers, down in Australia, the ever popular California Twin series just got a bit more length. Mark made it back to California, in Summer '24. We developed and re-introduced many of his iconic and classic models, built a bunch of custom orders, discussed his line of boards…and his gracefully aging demographic. During his time here, we were fortunate to get together and design this latest addition to the Ca-Twin series. The California Mid. As the name simply states, its a Mid-length version of our ever popular ""Ca-Twin"", stretched out to fill the niche Mid-length aficionado. A lot of surfers have become comfortable with longer rail lines in the past half decade and Marks customers (both in Australia and USA) were repeatedly requesting a board like this model be made...So we sat down, this summer and made it happen. Designed to be ridden 4-6"" longer than the Ca-Twin, on the smaller size and … 8""-12"" longer, on the larger sizes. We retained the main design elements that made the Ca-Twin such a fun and popular design. Single Concave bottom, nose to tail, with double concave thought he fins. Flat deck, with down soft rails and a foiled out nose and tail. Iconic Mark Richard winged swall","A lot of surfers have become comfortable with longer rail lines in the past half decade and Marks customers (both in Australia and USA) were repeatedly requesting a board like this model be made...So we sat down, this summer and made it happen. Flat deck, with down soft rails and a foiled out nose and tail.",soft rails,swallow tail,,medium,high,proposed_for_owner_review,False,current primaryFamily=Mid Length; \bmid[ -]?length\b,,
Lost,Crowd Killer,7833,https://lostsurfboards.com.au/products/lost-crowd-killer,Mid Length,Mid Length,mid_length,performance_mid_length,Single | Two Plus One | Twin,moderate,,Progressing | Intermediate | Advanced,high,flow_and_trim,mid_length | paddle_support | flow,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated mid-length classification.,"The Crowd Killer is a high performance, hyper fun board, based off of the Quiver Killer rocker and outline. The idea was to extend it lengthwise and open up this design to a wider audience.It's a wave catching, easy riding machine that does not skimp on performance. The Crowd Killer features: A slightly wider, wave catching nose, with a no flip tip, allowing the added length to still fit into the curve of waves. A moderately pulled in tail, which allows the board to feel lively and playful in small surf, yet holds long lines in larger waves. A relaxed and fast central rocker, that glides with ease. Plenty of tail rocker, with deep double concave, for whipping wraps like a pro. New 'Hidden Volume two stage deck line, which focuses the foam toward the stringer and a rapid taper towards the rails. This creates a flat, stable deck, without feeling full or bulbous, and allows sensitive yet forgiving rails. Own the local spot, or piss off locals when you travel with this Crowd Killing machine.","This wave catching predator features a ""hidden volume"" two stage deck that focuses paddling foam towards the stringer and sensitivity and forgiveness in the rapid taper rails. Relaxed and fast central rocker that glides with ease mixed with plenty of wrap friendly tail rocker.",forgiving rails,The Crowd Killer double winged swallow is the ultimate high performance mid length for aggressive radical surfing. Relaxed and fast central rocker that glides with ease mixed with plenty of wrap friendly tail rocker.,,medium,high,proposed_for_owner_review,False,current primaryFamily=Mid Length; \bmid[ -]?length\b,,
Lost,Crowd Killer Round,7834,https://lostsurfboards.com.au/products/crowd-killer-round,Mid Length,Mid Length,mid_length,,Single | Two Plus One | Twin,moderate,,Progressing | Intermediate | Advanced,high,flow_and_trim,mid_length | paddle_support | flow,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy mid_length.,The official Lost product record identifies the Crowd Killer Round as a longer-board model with a rounded outline. Quivrr treats it as a mid-length direction; use the current Lost dimensions and construction details to judge its paddle support and fit rather than assuming shortboard sizing.,,,,,low,high,proposed_for_owner_review,False,current primaryFamily=Mid Length; \bmid[ -]?length\b,,
