manufacturer,model,canonical_id,official_product_url,existing_primary_family,existing_design_subtype,proposed_primary_category,secondary_categories,fin_configuration,wave_power,wave_types,ability_range,paddle_profile,performance_profile,recommendation_lanes,excluded_lanes,source_summary,manufacturer_evidence,rocker_notes,rail_notes,tail_notes,key_trade_offs,source_confidence,classification_confidence,classification_status,changed_from_current,change_reason,review_decision,review_notes
Haydenshapes,Cannon,7985,https://www.haydenshapes.com/products/cannon-pe-single-fin,Semi Gun,Travel Step Up,step_up,,Thruster,weak,,Advanced | Expert,moderate,high_powerful_wave,step_up | powerful_wave | hollow_wave,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | small_wave | small_wave_shortboard | softboard | traditional_fish | twin_pin | weak_wave,Curated big-wave board classification.,"Model Overview The Cannon model is Haydenshapes signature single fin design, rising to prominence through its stellar performance at Teahupoo in Craig Andersons film 'Slow Dance,' released in 2013. SKILL LEVEL - 3-10 With a touch more nose lift than a traditional 70's single fin, the Cannon adapts to more of a modern surfing style which allows it to ride with a more ease. CONDITIONS - EVERYDAY CONDITIONS Surf it as a small wave model or stretch it out for when the conditions present themselves. SUITABLE WAVE FACES - FLAT TO HEAD HIGH Anything from beach breaks, reef to point breaks. FIN SETUP Single Fin",,,,,medium,high,proposed_for_owner_review,True,\bstep[ -]?up\b; \bsemi[ -]?gun\b,,
Haydenshapes,Holy Grail,7995,https://www.haydenshapes.com/products/holy-grail-futureflex,Performance Daily Driver,Performance Daily Driver,performance_daily_driver,daily_driver,Thruster | Five Fin,moderate,,Intermediate | Advanced,moderate,high_everyday,performance_daily_driver | daily_driver | performance_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated performance daily-driver classification.,"Model Overview The Holy Grail is a model that sits a little above the Hypto Krypto in terms of ability to perform tight critical moves in the pocket. It is a board that your average surfer can ride and catch a lot of waves, but experienced surfers can also push this board into some very high performance waves and manoeuvres. SKILL LEVEL - 3-10 The Holy Grail is suited to surfers who can comfortably pop up on every wave, travel down the line and are working on progressing their turns. This is not a beginner model. CONDITIONS - CLEAN/ EVERYDAY As it's an everyday model the volume under your chest gives great paddling power, allowing you to catch a lot of waves. The Holy Grail will shine in all conditions, even on shore slop, so long as there is a bit of punch in the wave to activate the side cuts throughout the tail. SUITABLE WAVE FACES - WAIST TO HEAD HIGH Anything from beach breaks, reef to point breaks. The Holy Grail will work at any location. It loves to be surfed in the pocket.","Model Overview The Holy Grail is a model that sits a little above the Hypto Krypto in terms of ability to perform tight critical moves in the pocket. SKILL LEVEL - 3-10 The Holy Grail is suited to surfers who can comfortably pop up on every wave, travel down the line and are working on progressing their turns.",,"The Holy Grail will shine in all conditions, even on shore slop, so long as there is a bit of punch in the wave to activate the side cuts throughout the tail.",,medium,high,proposed_for_owner_review,False,current primaryFamily=Performance Daily Driver; \bperformance daily driver\b,,
Haydenshapes,Holy Hypto,7996,https://www.haydenshapes.com/products/holy-hypto-futureflex-clear,Performance Daily Driver,Performance Daily Driver,performance_daily_driver,daily_driver,Thruster | Five Fin,weak,,Intermediate | Advanced,moderate,high_everyday,performance_daily_driver | daily_driver | performance_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated performance-oriented Hypto family classification.,"Model Overview The Holy Hypto is a combination of the Hypto Krypto and Holy Grail models, thus the Holy Hypto was created. Having more entry rocker, longer rail line with a performance nose, this shape will surf like your everyday driver with the speed and flow of the Hypto. The wide point is forward of center allowing a lot of hidden foam to be under the front foot giving the surfer a larger sweet spot while surfing and great paddle power. Ridden 2"" longer than your Hypto Krypto, it will suit a great variety of waves with a high performance approach. Noel Salas - Surf'n'Show - ""This board is by far, the best high performance, top to bottom surfing I've experienced. I could not believe how fast this board was getting top to bottom, with razor sharp turns. This board is absolutely mental. It shocked me!"" Watch Review SKILL LEVEL - ALL LEVELS The Holy Hypto is suitable for those progressing in surfing ability to advanced surfers looking for the performance to match everyday waves. Ridden 2"" longer than your Hypto Krypto C ONDITIONS - ALL CONDITIONS It is an everyday driver designed to work in waist high to 8ft face waves. SUITABLE WAVE FACES - WAIST TO HEAD AND HALF HIGH Anything from beach breaks, reef to point breaks the Holy Hypto will perform in all round conditions. ROCKER Medium entry rocker (similar to Holy Grail), flat center rocker, and slight tail rocker. CONCAVES Rolle",Medium entry rocker,,"ROCKER Medium entry rocker (similar to Holy Grail), flat center rocker, and slight tail rocker. CONCAVES Rolled vee in the entry, single concave under front foot, double concave through fins, and vee double out the tail.",,medium,high,proposed_for_owner_review,False,current primaryFamily=Performance Daily Driver; \bperformance daily driver\b,,
Haydenshapes,Holy Hypto FutureFlex,7997,https://www.haydenshapes.com/products/holy-hypto-futureflex-cobalt-blue,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,weak,beach_break | point_break,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Model Overview The Holy Hypto is a combination of the Hypto Krypto and Holy Grail models, thus the Holy Hypto was created. Having more entry rocker, longer rail line with a performance nose, this shape will surf like your everyday driver with the speed and flow of the Hypto. The wide point is forward of center allowing a lot of hidden foam to be under the front foot giving the surfer a larger sweet spot while surfing and great paddle power. Ridden 2"" longer than your Hypto Krypto, it will suit a great variety of waves with a high performance approach. Noel Salas - Surf'n'Show - ""This board is by far, the best high performance, top to bottom surfing I've experienced. I could not believe how fast this board was getting top to bottom, with razor sharp turns. This board is absolutely mental. It shocked me!"" Watch Review SKILL LEVEL - ALL LEVELS The Holy Hypto is suitable for those progressing in surfing ability to advanced surfers looking for the performance to match everyday waves. Ridden 2"" longer than your Hypto Krypto C ONDITIONS - ALL CONDITIONS It is an everyday driver designed to work in waist high to 8ft face waves. SUITABLE WAVE FACES - WAIST TO HEAD AND HALF HIGH Anything from beach breaks, reef to point breaks the Holy Hypto will perform in all round conditions. ROCKER Medium entry rocker (similar to Holy Grail), flat center rocker, and slight tail rocker. CONCAVES Rolle",Medium entry rocker,,"ROCKER Medium entry rocker (similar to Holy Grail), flat center rocker, and slight tail rocker. CONCAVES Rolled vee in the entry, single concave under front foot, double concave through fins, and vee double out the tail.",,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Haydenshapes,Hypto Krypto,7998,https://www.haydenshapes.com/products/hypto-krypto-futureflex,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver | longboard,Thruster | Five Fin,powerful,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Manufacturer explicitly describes all-conditions one-board-quiver versatility.,"Model Overview The Hypto Krypto is a balance of tradition and modern performance. Suited to the elite level surfer to the everyday surfer, it is often referred to as the 'one board quiver' for its versatility across all types of surf conditions – from small 1-3 ft beach breaks, to barrels of up to 8ft. SKILL LEVEL - 1-10 The Hypto Krypto is suitable for all skill levels. For those who are experienced, surf it 1 - 2 inches shorter than your everyday shortboard. For those starting out order it 2 inches bigger than your everyday shortboard. If you're stepping down from a longboard or mini mal, order 6'2 and up. CONDITIONS - ALL CONDITIONS As it's an everyday model it's designed to catch more waves in a range of conditions. It will easily generate speed down the line at your local beach break and will hold up when the conditions present themselves. SUITABLE WAVE FACES - FLAT TO DOUBLE OVERHEAD Anything from beach breaks, reef to point breaks. The Hypto Krypto will work at any location. ""This model's been the bestselling model ever. Paddles unreal —easy to surf. It carries great over the dead sections, feels really sparky!"" Ian 'Wooly' Macpherson – Wooly TV Watch Review",,,"If you're stepping down from a longboard or mini mal, order 6'2 and up.",,high,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Haydenshapes,Merlot,8004,https://www.haydenshapes.com/products/merlot-futureflex,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,small_wave_shortboard | daily_driver,Thruster | Five Fin,weak,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Model Overview The wine glass shaped Merlot, is a unique shape designed for fun, small-wave performance surfing. SKILL LEVEL - 4-10 If the conditions are playful, onshore or offshore; the Merlot is ideal. Riding it delivers an instant unique feeling! Maximum performance in small waves. CONDITIONS - CLEAN TO PUMPING When the board is put on rail, the concave outlines are engaged, causing water flow to follow. This allows the board to draw tight, curvy arcs in fun everyday conditions. SUITABLE WAVE FACES - EVERYDAY CONDITIONS The Merlot works in all conditions. An ideal model to add to your quiver for that extra flair in everyday conditions. FIN SETUP FCSII and Futures 3 Fin PLEASE NOTE: Custom Made To Order or Pre-Order Boards will take 12-14 weeks for manufacturing","CONDITIONS - CLEAN TO PUMPING When the board is put on rail, the concave outlines are engaged, causing water flow to follow.",,"CONDITIONS - CLEAN TO PUMPING When the board is put on rail, the concave outlines are engaged, causing water flow to follow.",,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Haydenshapes,Nova,8009,https://www.haydenshapes.com/products/nova-futureflex,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,powerful,beach_break,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Model Overview The Nova is a high-speed, small wave driver built for everyday conditions - easy to paddle, fast off the mark, and effortlessly responsive underfoot. Its wider outline carries momentum through flat sections while the refined rocker and bottom contours keep it lively, predictable and composed in the pocket. Designed for wave count, flow and that electric HS feel, the Nova delivers reliable performance for all surfers wanting a board that lights up every session without needing perfect surf. SKILL LEVEL - All Levels Suited to all surfers from beginner to advanced, recommended to be ridden 2-4 inches shorter than your standard shortboard or ridden at your preferred target volume. CONDITIONS - ALL CONDITIONS The NOVA was created to excel in all conditions from fast punchy beach breaks to smooth, clean wave faces and even the worlds manmade wave pools. It has enough surface area through the nose and tail to generate speed through flatter sections of wave coupled with a medium rocker which will give a responsive feel when surfed tight in the pocket in steeper conditions. SUITABLE WAVE FACES - FLAT TO OVERHEAD Suitable for wave faces from flat to overhead, the NOVA adapts effortlessly to beach breaks, reefs, points, and especially pools.","Its wider outline carries momentum through flat sections while the refined rocker and bottom contours keep it lively, predictable and composed in the pocket. It has enough surface area through the nose and tail to generate speed through flatter sections of wave coupled with a medium rocker which will give a responsive feel when surfed tight in the pocket in ",,It has enough surface area through the nose and tail to generate speed through flatter sections of wave coupled with a medium rocker which will give a responsive feel when surfed tight in the pocket in steeper conditions.,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Haydenshapes,Plunder,8011,https://www.haydenshapes.com/products/plunder-futureflex,Fish,Retro Fish,traditional_fish,,Twin,weak,,Intermediate | Advanced,high,flow_and_speed,fish | traditional_fish | weak_wave | flow,alternative | beginner | big_wave | competition | daily_driver | everyday | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | twin_pin,Curated easy-speed alternative shape.,"Model Overview The Plunder is definitely an entertaining board to add to your quiver, handling those days where surface area and speed are crucial for maximising fun. SKILL LEVEL - 3-10 The Plunder is a fuller-plane shape designed to bring versatility and fun to small waves without forgetting about that superior performance spark. For experienced surfers, order it 4-5 inches shorter than your everyday shortboard. Order it as long as you want for a cruiser. CONDITIONS - EVERYDAY CONDITIONS The unique surface area in the outline allows the board to trim with surprising speed in the weakest of conditions, while the soft diamond tail paired with the kick in the rail-line rocker toward the back third, gives the Plunder an ability to respond and turn when a good section lines up. SUITABLE WAVE FACES - FLAT TO HEAD HIGH Anything from beach breaks, reef to point breaks. FIN SETUP FCSII and Futures. Single Fin + Quad","CONDITIONS - EVERYDAY CONDITIONS The unique surface area in the outline allows the board to trim with surprising speed in the weakest of conditions, while the soft diamond tail paired with the kick in the rail-line rocker toward the back third, gives the Plunder an ability to respond and turn when a good section lines up.",,diamond tail,,medium,high,proposed_for_owner_review,False,current primaryFamily=Fish; \bretro fish\b,,
Haydenshapes,Psychedelic Germ,8012,https://www.haydenshapes.com/products/psychedelic-germ-futureflex,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,weak,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Model Overview The Psychedelic Germ is a highly responsive, shorter, wider surfboard with added features that make it ideal for innovative surfing. The design concept of The Shred Sled model was used as the starting premise in the creation of the Psychedelic Germ. One of the key notable changes was the addition of displacement hull designed by both Hayden Cox and well-known Australian Naval Architect, Andy Dovell. The second key feature being the snowboard inspired side cuts. Similar to that of a boat design, the hull softens the water flow through the entry of the board. It hits the ridge of the hull, and is dispersed into the single concave. When taking off late, this assists in planing through choppy water or helping to land critical manoeuvres. The side cuts shorten the radius of turns, meaning the board will draw a much tighter arc. During bottom turns, it engages the 3 dimensional curve that the side cut creates, which draws the surfer up the wave face. This then transitions onto the inside rail which pulls the surfer around and back into the pocket with ease. For a shorter and wider board that's strikes the balance between performance and innovation, the Psychedelic Germ has all the features needed to bring a whole new dimension to surfing. Wave Height - 2-6ft Wave Faces Wave Type - Everyday/ All conditions Skill Level - Intermediate to Advanced Fin Set Up - 3 Fin PLEASE",This then transitions onto the inside rail which pulls the surfer around and back into the pocket with ease.,,"When taking off late, this assists in planing through choppy water or helping to land critical manoeuvres.",,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Haydenshapes,Shred Sled,8013,https://www.haydenshapes.com/products/shred-sled-futureflex,Groveller,Small Wave Performance,groveller,small_wave_shortboard | performance_shortboard,Thruster | Five Fin,weak,,Intermediate | Advanced,high,moderate_small_wave,groveller | small_wave | weak_wave,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | flow | forgiving_shortboard | good_wave | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin,Curated small-wave performance classification.,"Model Overview The Shred Sled is Designed to be ridden 4-5 inches shorter and ¾ to 1 inch wider than your average performance shortboard. The Shred Sled is a fish design tweaked to be an all-round surfing board. It has a smooth connected feeling that is fast and flowing. SKILL LEVEL - 4-10 The Shred Sled is a performance shortboard with a depth of character. Intermediate to Advanced surfers. CONDITIONS - ABOVE AVERAGE The unique outline allows a full plan shape, yet a wide round tail is positioned behind the wing to give plenty of performance and curve to fit into all types of waves. SUITABLE WAVE FACES - WAIST TO HEAD AND HALF HIGH It has a smooth connected feeling that is fast and flowing. Although it looks like a small wave board, the Shred Sled will surf waves up to 6ft in all conditions. PLEASE NOTE: Custom Made To Order or Pre-Order Boards will take 12-14 weeks for manufacturing",,,round tail,,medium,high,proposed_for_owner_review,False,current primaryFamily=Groveller; \bgrovell?er\b,,
