manufacturer,model,canonical_id,official_product_url,existing_primary_family,existing_design_subtype,proposed_primary_category,secondary_categories,fin_configuration,wave_power,wave_types,ability_range,paddle_profile,performance_profile,recommendation_lanes,excluded_lanes,source_summary,manufacturer_evidence,rocker_notes,rail_notes,tail_notes,key_trade_offs,source_confidence,classification_confidence,classification_status,changed_from_current,change_reason,review_decision,review_notes
Rusty,1984,7904,https://rustysurfboards.com/collections/1984,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Occy's board from his break-out year. The ""Raging Bull"" was unstoppable on this Rusty design that set the surfboard world on notice. The '84 is also considered a very user-friendly, versatile design featuring a flat-bottom under the front foot with a shallow vee and scooped panels through the fins, lifting off the corners of the tail. The main characteristics are the relaxed rocker, flat deck, beak nose, and boxy rails.","The main characteristics are the relaxed rocker, flat deck, beak nose, and boxy rails.",boxy rails,"The '84 is also considered a very user-friendly, versatile design featuring a flat-bottom under the front foot with a shallow vee and scooped panels through the fins, lifting off the corners of the tail.",,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Rusty,419 Fish,7905,https://rustysurfboards.com/collections/419-fish,Performance Fish,Performance Fish,performance_fish,traditional_fish | groveller,Twin | Quad,powerful,,Intermediate | Advanced | Expert,moderate_high,moderate_high,fish | performance_fish | small_wave | daily_driver,alternative | beginner | big_wave | competition | everyday | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated compact performance fish classification.,"The design is Rusty's update for the classic San Diego fish. The flat-deck combined with angular rails allows this fish to have incredible performance. The bottom features a light convex entry that transitions into a moderate single concave through the midsection and finishes with a bit of vee off the corners. The low entry rocker stays relaxed through the entire length of the bottom. Rail transitions on the 419 Fish are easier due to the flat deck. The angular rails provide more bite and drive off the turns than other classic fish. The board also has an even thickness flow, a beak nose and through its thinner center section to a somewhat fuller tail. Overall, this board is a great groveler that can still handle some size. Recommended from knee-high to well overhead.",low entry rocker,,"The board also has an even thickness flow, a beak nose and through its thinner center section to a somewhat fuller tail.",,medium,high,proposed_for_owner_review,False,current primaryFamily=Performance Fish; \bperformance fish\b; fish in model name,,
Rusty,421 Fish,7906,https://rustysurfboards.com/collections/421-fish,Fish,Traditional Fish,traditional_fish,,Twin,powerful,,Intermediate | Advanced,high,flow_and_speed,fish | traditional_fish | weak_wave | flow,alternative | beginner | big_wave | competition | daily_driver | everyday | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | twin_pin,Curated traditional fish classification.,"This design is a versatile, high performance quad-fish, based on our popular 419 Fish. The 421 has evolved featuring a crowned deck, narrower nose and rounded dove tail for more top-to-bottom surfing and tighter arcs. Designed for waves from waist-high to overhead, it excels at a multitude of waves from beach breaks & points to reef breaks and slabs. ""Much more versatile. Tighter turning radius but still very very fast down the line!!!"" -Rusty Team Feedback Ideal for beginners through expert surfers. The 421 Fish offers a predictable, skateboard-like feel and adds some fun, new performance line options when compared to a classic Fish. The 421 fish can go wherever your eyes and ability can take you.",,,"The 421 has evolved featuring a crowned deck, narrower nose and rounded dove tail for more top-to-bottom surfing and tighter arcs.",,medium,high,proposed_for_owner_review,False,current primaryFamily=Fish; \btraditional fish\b; \bclassic fish\b,,
Rusty,Bali Single,7907,https://rustysurfboards.com/collections/bali-single,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"We would like to present you the Future , and it comes from the Past! Yeah the Single fin is back , but not THAT old single fin but a board that has a high performance level of surfing with sharp ,radical turns and sky high aerials and all sort of tricks ! The Single Life presents the BS , not really but the Bali Single ; a board first tested in the warm waters and perfect waves of Bali . The design presents the classic Rdot logo with 3 shadows and fluo colors and the art work brings back the 80's. Here is how Rusty describes his creation : It's got a relaxed rocker a lot like the '84 Occy type boards…not old school single fin At first I was going to give it an old school beak but thought about it and decided against that. I wanted to keep any excess swing weight out of the front of the board. Deck is semi flat and rails full but angular so they don't feel bloated. A low tight apex and almost a light chine in the last 18"". Lots of release. The bottom has a very light single in the mid section vee through the fins and off the tail. The spine of the vee is above the rail but it has a slight concave out towards the rail creating a little hook in the wings. The spine of the vee is knocked off…very subtle but is gives a light roll to the peak of the vee and helps to give it a smoother transition panel to panel. The corners of the tail are lifted a little..the vee accelerates off the",Here is how Rusty describes his creation : It's got a relaxed rocker a lot like the '84 Occy type boards…not old school single fin At first I was going to give it an old school beak but thought about it and decided against that. Deck is semi flat and rails full but angular so they don't feel bloated.,,The bottom has a very light single in the mid section vee through the fins and off the tail. The spine of the vee is above the rail but it has a slight concave out towards the rail creating a little hook in the wings.,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Rusty,Barking Spider,7908,https://rustysurfboards.com/collections/barking-spider,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,powerful,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"The Barking Spider is a hybrid shortboard combining the outline and high volume of the Hustler with the performance rail and rocker of the Yes Thanks, making it Clint's go-to in waist to overhead surf. The pronounced double concave under the rider's feet creates smooth and effortless rail-to-rail transitions. Adding a subtle hip in the outline and a sharp, shallow swallowtail allows you to snap off a turn anywhere you want on a wave. Together this combination makes it an ideal board in waist to overhead surf!","The Barking Spider is a hybrid shortboard combining the outline and high volume of the Hustler with the performance rail and rocker of the Yes Thanks, making it Clint's go-to in waist to overhead surf. The pronounced double concave under the rider's feet creates smooth and effortless rail-to-rail transitions.",,"Adding a subtle hip in the outline and a sharp, shallow swallowtail allows you to snap off a turn anywhere you want on a wave.",,medium,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Rusty,Big Cat,7909,https://rustysurfboards.com/collections/big-cat,Mid Length,Mid Length,mid_length,,Single | Two Plus One | Twin,moderate,,Progressing | Intermediate | Advanced,high,flow_and_trim,mid_length | paddle_support | flow,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy mid_length.,"The Big Cat has a commanding presence in the lineup. A board that is ready to pounce with agility and power for its size. This board is built with one of our fullest and widest outlines and a semi-flat deck that carries a little extra volume out to the rail making it easy to paddle and catch waves. It has a firm, semi-full rail and a single-to-double-concave bottom with a touch of vee in the tail that lends to quick responsive control. The distinct double-wing swallow and slightly relaxed rocker makes this design versatile for a good range of waves.","This board is built with one of our fullest and widest outlines and a semi-flat deck that carries a little extra volume out to the rail making it easy to paddle and catch waves. It has a firm, semi-full rail and a single-to-double-concave bottom with a touch of vee in the tail that lends to quick responsive control.",full rail,"It has a firm, semi-full rail and a single-to-double-concave bottom with a touch of vee in the tail that lends to quick responsive control. The distinct double-wing swallow and slightly relaxed rocker makes this design versatile for a good range of waves.",,low,high,proposed_for_owner_review,False,current primaryFamily=Mid Length; \bmid[ -]?length\b,,
Rusty,Blackbird,7910,https://rustysurfboards.com/collections/blackbird,Step Up,Reef Step Up,step_up,,Thruster,powerful,,Advanced | Expert,moderate,high_powerful_wave,step_up | powerful_wave | hollow_wave,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | small_wave | small_wave_shortboard | softboard | traditional_fish | twin_pin | weak_wave,Curated good-wave classification.,"The ""Blackbird"" SR-71 is the fastest manned jet ever built. Based on that concept, we designed this board to cover ground quickly! Developed for the bigger days chasing down peaks in open waters and battling currents, this is the perfect big-wave weapon. It features added volume, an area-forward outline, lower entry-rocker and a light vee in the nose allowing it to paddle into anything, even in the toughest of surf conditions. With a slight single to double concave bottom, running through the fins and rounded pintail, the Blackbird delivers smooth transitions and fast, clean lines. A heavy hitter for any arsenal!","It features added volume, an area-forward outline, lower entry-rocker and a light vee in the nose allowing it to paddle into anything, even in the toughest of surf conditions.",,"With a slight single to double concave bottom, running through the fins and rounded pintail, the Blackbird delivers smooth transitions and fast, clean lines.",,medium,high,proposed_for_owner_review,False,current primaryFamily=Step Up; \bstep[ -]?up\b,,
Rusty,Blade,7911,https://rustysurfboards.com/collections/blade,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"The Blade works in a wide range of conditions. For now we are offering the Blade in a mellow, subtle single to double concave, that bottom with 4 deep channels, and a modern deep single concave.",,,,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Rusty,D Min,7912,https://rustysurfboards.com/collections/d-min,Performance Fish,Performance Fish,performance_fish,,Twin | Quad,weak,,Intermediate | Advanced | Expert,moderate_high,moderate_high,fish | performance_fish | small_wave | daily_driver,alternative | beginner | big_wave | competition | everyday | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy fish.,"A few years back Rusty designed a board called the Neil and it has gotten more interest in the last year or so. He went back and updated the design, adding more volume and improving the performance in smaller waves, giving you the Diamond Mini or D Min. The D Min catches waves easily and does best in a wide range of conditions from knee high, mush to head high. With the added volume, you want to ride it shorter, similar to a fish. What gives the D Min its name is its diamond tail. The diamond tail is a blend of a round pin and squash and really helps this board with tighter turns than most full, wide everyday surfboards. The low entry rocker and added foam in the chest area with the aggressive tail rocker and vee off the tail make this board paddle with ease and still have lots of maneuverability to transition from rail to rail. If you're looking for a versatile, everyday surfboard and an excellent solution to everyday surf conditions, the D Min is the perfect board for you.",low entry rocker,,diamond tail,,medium,high,proposed_for_owner_review,False,current primaryFamily=Performance Fish; \bperformance fish\b,,
Rusty,Desert Island,7913,https://rustysurfboards.com/collections/desert-island,Mid Length,Mid Length,mid_length,,Single | Two Plus One | Twin,moderate,,Progressing | Intermediate | Advanced,high,flow_and_trim,mid_length | paddle_support | flow,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy mid_length.,"The Rusty Surfboards Desert Island is the one board that does it all for larger, experienced surfers. The Desert Island provides plenty of paddle power and can handle almost every type of condition.",,,,,low,high,proposed_for_owner_review,False,current primaryFamily=Mid Length; \bmid[ -]?length\b,,
