manufacturer,model,canonical_id,official_product_url,existing_primary_family,existing_design_subtype,proposed_primary_category,secondary_categories,fin_configuration,wave_power,wave_types,ability_range,paddle_profile,performance_profile,recommendation_lanes,excluded_lanes,source_summary,manufacturer_evidence,rocker_notes,rail_notes,tail_notes,key_trade_offs,source_confidence,classification_confidence,classification_status,changed_from_current,change_reason,review_decision,review_notes
Album,Bom Dia,8114,https://albumsurf.com/collections/bom-dia-concept,Performance Twin,Alternative Performance Twin,performance_twin,alternative,Twin | Quad,moderate,,Advanced | Expert,moderate,high_alternative,performance_twin | alternative | daily_driver,beginner | big_wave | competition | everyday | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,"Curated performance twin classification. Bom Dia is an alternative performance twin, not a conventional high-performance thruster.","The Bom Dia is an alternative performance board that is meant to be ridden as well as you can surf. Unlike most alternative boards, the Bom Dia doesn’t need much width as it generates speed efficiently and planes right off the bat. With a narrow outline and asymmetrical tail, it rolls rail to rail instantly, making it very user friendly. Strong paddler that carries speed through turns. Sized similar to an Insanity, slightly shorter with more volume than a performance board. Left Available stock Right View all 6'0"" Bom Dia (Dark Arts) (Regular) $1,445 USD 6'5"" Bom Dia (Round) (Goofy) $1,200 USD 6'10"" Bom Dia (Round) (Regular) $1,300 USD 6'6"" Bom Dia (Regular) $1,200 USD Play Bom Dia Applying these concepts to new designs has allowed the Bom Dia to take on different forms, each of which offering a new feeling. Bom Dia 2 products Bom Dia (Round) 2 products The Fin Placement Asymmetrically placed fin boxes, creating an all wheel drive sensation under your foot. Fin cluster designed around the mechanics of your foot. The heel side trailer is placed more towards the center of the board, aligning with the hinge point of your ankle and pivot point of the tail. The toe side boxes are straighter, closer to the rail and placed closer together, acting as more of a split twin. This offers more control on your backside and allows you to push harder on your frontside. Relaxed entry rocker for",Relaxed entry rocker,,"With a narrow outline and asymmetrical tail, it rolls rail to rail instantly, making it very user friendly. The heel side trailer is placed more towards the center of the board, aligning with the hinge point of your ankle and pivot point of the tail.",Not a conventional thruster shortboard feel | Best when you want speed and a looser alternative line,high,high,proposed_for_owner_review,False,current primaryFamily=Performance Twin; \bperformance twin\b; twin fin supporting evidence,,
Album,Bullet,8115,https://albumsurf.com/collections/bullet,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Versatile manufacturer-described daily driver.,One of the most versatile shapes in our lineup. Ride it short and stubby in small surf or use it as a daily driver with your shortboard dimensions. Get creative and dialed in with our shaper Matt by switching up the tail shapes in our custom unlimited order form.,,,Get creative and dialed in with our shaper Matt by switching up the tail shapes in our custom unlimited order form.,,medium,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Album,D'boa,8116,https://albumsurf.com/collections/dboa-1,Performance Fish,Performance Fish,performance_fish,,Twin | Quad,powerful,,Intermediate | Advanced | Expert,moderate_high,moderate_high,fish | performance_fish | small_wave | daily_driver,alternative | beginner | big_wave | competition | everyday | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy fish.,"Designed to be Victor's step-down from the Bom Dia, pulling concepts from the Vesper and applying them to the asym design of the Bom Dia. Easy speed generated from the double-barrel channel that also creates lift off the back foot, while providing grip through your turns. This paired with the efficiency and responsiveness of the asym tail/fin placement makes for effortless flow in average waves, while maintaining a high level of performance with instant rail-to-rail transitions. Left Available Stock Right View all D'boa Fin Placement Asymmetrically placed fins create an all-wheel-drive feel underfoot. The heel-side trailer is positioned near the center, aligning with the ankle hinge and tail pivot point. The toe-side boxes are straighter, closer to the rail, and more a tighter cluster, offering better backside control and enhanced frontside power. Flatter rocker underneath the chest for easy wave-catching with slightly more entry and exit rocker than a standard fish. Holds better in steep surf, while taking the speed/flow of a fish and mixing it with a more aggressive approach. Single concave transitioning into a deep double-barrel concave that runs from the middle of the board through the tail. The deep, double-barrel concave generates effortless speed and creates lift off the back foot, while providing grip through your turns. Left All Board Models Right Sunstone Lightbender ","This paired with the efficiency and responsiveness of the asym tail/fin placement makes for effortless flow in average waves, while maintaining a high level of performance with instant rail-to-rail transitions. The heel-side trailer is positioned near the center, aligning with the ankle hinge and tail pivot point.",,"This paired with the efficiency and responsiveness of the asym tail/fin placement makes for effortless flow in average waves, while maintaining a high level of performance with instant rail-to-rail transitions. The heel-side trailer is positioned near the center, aligning with the ankle hinge and tail pivot point.",,medium,high,proposed_for_owner_review,False,current primaryFamily=Performance Fish; \bperformance fish\b,,
Album,Delma,8117,https://albumsurf.com/collections/delma,Performance Fish,Performance Fish,performance_fish,,Twin | Quad,powerful,,Intermediate | Advanced | Expert,moderate_high,moderate_high,fish | performance_fish | small_wave | daily_driver,alternative | beginner | big_wave | competition | everyday | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy fish.,"An easy paddler that gets up to speed faster and with less effort than any of our models. Features the Plasmic's double-barrel concave that generates speed in just about anything. Similar concept to the Vesper, but with a more pulled in nose, winged round tail and a bit more rocker making it a great option for when the waves get a bit bigger. Left Available Stock Right 5'7"" Delma $1,400 USD 7'0"" Delma $1,400 USD 7'6"" Delma $1,400 USD Left Right 7'2"" Delma $1,700 USD Delma For anyone looking to dive deeper. Stretched fish rocker, making it flatter under the chest but also giving it more entry and exit rocker. The extra entry and exit rocker allow the board to be ridden in steeper surf and maintain performance. Left All Board Models Right Sunstone Lightbender Twinsman Insanity Disorder Freewing Fascination Plasmic Moonstone 2 products Townsend 5 products Darkness Whale Shark Album Surf 1709 N. El Camino Real San Clemente, CA 92672 Directions ≫ Monday | Appointment Only Tuesday - Friday | 11am-6pm Saturday | 9am-4pm Sunday | Closed Call, Text or WhatsApp +1 (949) 291-6922 info@albumsurf.com Join the list Sign up Youtube Instagram Collaborations Journal Returns FAQ Terms & Conditions Privacy Policy © 2026 Album Surfboards, LLC Site Credits albumsurf.com albumsurf.com.au BASED ON YOUR LOCATION, WE'RE REDIRECTING YOU. albumsurf.com albumsurf.com/en-jp BASED ON YOUR LOCATION, WE'RE RE","Similar concept to the Vesper, but with a more pulled in nose, winged round tail and a bit more rocker making it a great option for when the waves get a bit bigger. Stretched fish rocker, making it flatter under the chest but also giving it more entry and exit rocker.",,round tail,,medium,high,proposed_for_owner_review,False,current primaryFamily=Performance Fish; \bperformance fish\b,,
Album,Disorder,8118,https://albumsurf.com/collections/disorder,High Performance Shortboard,Competition HPSB,performance_shortboard,,Thruster,moderate,,Advanced | Expert,low_moderate,very_high,performance_shortboard | good_wave | competition,alternative | beginner | big_wave | daily_driver | everyday | fish | flow | forgiving_shortboard | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated performance shortboard classification.,"This is the pinnacle of all of our research and development of performance asymmetry over the last decade, and the next generation of the proven Disasym. Set up for regular- or goofy-foot. Twin fin speed on your toes with quad grip and a pulled-in rail line on your heels, and now with an updated performance rocker that","Twin fin speed on your toes with quad grip and a pulled-in rail line on your heels, and now with an updated performance rocker that",,"This is the pinnacle of all of our research and development of performance asymmetry over the last decade, and the next generation of the proven Disasym.",,medium,high,proposed_for_owner_review,False,current primaryFamily=High Performance Shortboard; \bhigh performance shortboard\b; \bperformance shortboard\b; \bhpsb\b,,
Album,Fascination,8119,https://albumsurf.com/collections/fascination,Performance Fish,Performance Fish,performance_fish,traditional_fish | alternative,Twin | Quad,moderate,,Intermediate | Advanced | Expert,moderate_high,moderate_high,fish | performance_fish | small_wave | daily_driver,alternative | beginner | big_wave | competition | everyday | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Canonical fish model with modern performance bias.,"A classic fish turned asymmetrical. Everything you love about your fish, but without limitations. Twin fin speed on the toe side, quad control on the heal side. Slightly straighter outline than a traditionally fish, leading to more speed and hold. Ride it an inch or two longer and slightly narrower than your classic fi",,,,,medium,high,proposed_for_owner_review,False,current primaryFamily=Performance Fish; \bperformance fish\b,,
Album,Freewing,8120,https://albumsurf.com/collections/freewing,High Performance Shortboard,Competition HPSB,performance_shortboard,,Thruster,moderate,,Advanced | Expert,low_moderate,very_high,performance_shortboard | good_wave | competition,alternative | beginner | big_wave | daily_driver | everyday | fish | flow | forgiving_shortboard | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy performance_shortboard.,"Matt designed this board for Jack Freestone with the intention of bringing new feeling and life into a familiar design. The result is a shortboard that bridges the gap between high performance and alternative styles, offering critical surfing with less effort. Slightly more width carried through the tail from the wing,",,,"Slightly more width carried through the tail from the wing,",,low,high,proposed_for_owner_review,False,current primaryFamily=High Performance Shortboard; \bhigh performance shortboard\b; \bperformance shortboard\b; \bhpsb\b,,
Album,Insanity,8121,https://albumsurf.com/collections/insanity-1,High Performance Shortboard,Competition HPSB,performance_shortboard,,Thruster,moderate,,Advanced | Expert,low_moderate,very_high,performance_shortboard | good_wave | competition,alternative | beginner | big_wave | daily_driver | everyday | fish | flow | forgiving_shortboard | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy performance_shortboard.,"For anyone looking to dive deeper. Relaxed entry rocker for a performance board with a subtle curve throughout and extra rocker in the exit. Relaxed entry gives more surface area under your chest for paddling and down the line speed. Extra exit rocker allows for more critical surfing by letting the board fit in steeper sections of the wave. Deep single concave under the front foot, transitioning into a slight double through the fins and vee off the tail, otherwise known as a spiral vee. The modern bottom generates speed, helps the board roll rail to rail and drive off your back foot. Rocker Profile Relaxed entry rocker for a performance board with a subtle curve throughout and extra rocker in the exit. Relaxed entry gives more surface area under your chest for paddling and down the line speed. Extra exit rocker allows for more critical surfing by letting the board fit in steeper sections of the wave. Hidden foam in the center and under the chest, dispersing evenly towards the beak nose and tapering quickly into a modern rail. The fuller deck profile on a performance board gives it extra paddle without sacrificing performance and allows the board to carry momentum. Left All Board Models Right Sunstone Lightbender Twinsman Insanity Disorder Freewing Fascination Plasmic Moonstone 2 products Townsend Darkness Whale Shark Album Surf 1709 N. El Camino Real San Clemente, CA 92672 Dire",Relaxed entry rocker,,"Deep single concave under the front foot, transitioning into a slight double through the fins and vee off the tail, otherwise known as a spiral vee.",,low,high,proposed_for_owner_review,False,current primaryFamily=High Performance Shortboard; \bhigh performance shortboard\b; \bperformance shortboard\b; \bhpsb\b,,
Album,Lightbender,8123,https://albumsurf.com/collections/lightbender,Performance Fish,Performance Fish,performance_fish,daily_driver,Twin | Quad,moderate,,Intermediate | Advanced | Expert,moderate_high,moderate_high,fish | performance_fish | small_wave | daily_driver,alternative | beginner | big_wave | competition | everyday | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated modern performance-fish classification.,"A daily driver fish with a tighter outline and modern enhancements, designed to explore the limits of a traditional approach. Approachable for any style of surfing, combining easy speed generation and wave catching with the ability to turn wherever you want. Fits in tighter pockets and hangs in better waves than a trad",,,,,high,high,proposed_for_owner_review,False,current primaryFamily=Performance Fish; \bperformance fish\b,,
Album,Moonstone,8124,https://albumsurf.com/collections/moonstone,Performance Fish,Performance Fish,performance_fish,mid_length,Twin | Quad,moderate,,Intermediate | Advanced | Expert,moderate_high,moderate_high,fish | performance_fish | small_wave | daily_driver,alternative | beginner | big_wave | competition | everyday | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated Album alternative-shape classification.,"A more dynamic version of a mid length that comes from a stretched fish platform. Has the feeling of a fish, but with increased hold and the ability to handle good waves from a narrower outline. It planes right off the bat while taking any momentum from the wave and turning it into instant speed. Has enough foam and pa",,,,,medium,high,proposed_for_owner_review,False,current primaryFamily=Performance Fish; \bperformance fish\b,,
