brand,model,primaryLane,boardLanes,confidence,notes
Album,Bullet,hybrid_daily_driver,hybrid_daily_driver; user_friendly_shortboard,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Album,Disorder,high_performance_shortboard,high_performance_shortboard,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Album,Fascination,modern_fish,modern_fish; performance_fish,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Album,Lightbender,performance_fish,performance_fish; modern_fish; point_break_fish,high,Concise curated classification; retain manufacturer evidence as the primary authority.
Album,Moonstone,performance_fish,performance_fish; modern_fish,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Album,Plasmic,fish_hybrid,fish_hybrid; small_wave_fish,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Album,Sunstone,cruisy_fish,cruisy_fish; modern_fish,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Album,Townsend,performance_mid_length,performance_mid_length; step_up_mid_length,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Album,Twinsman,twin_fin_performance,twin_fin_performance; modern_fish; point_break_fish,high,Concise curated classification; retain manufacturer evidence as the primary authority.
Album,Warp Twin,twin_fin_performance,twin_fin_performance; modern_fish,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Channel Islands,better-everyday,performance_daily_driver,performance_daily_driver; forgiving_daily_driver,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Channel Islands,ci-fish,traditional_fish,traditional_fish; small_wave_fish; keel_fish,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Channel Islands,ci-mid,performance_mid_length,performance_mid_length; cruisy_mid_length,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Channel Islands,ci-mid-twin,mid_length_twin,mid_length_twin; performance_mid_length,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Channel Islands,dumpster-diver-2,step_down_shortboard,step_down_shortboard; small_wave_daily_driver,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Channel Islands,febs-fish,modern_fish,modern_fish; performance_fish,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Channel Islands,fever,high_performance_shortboard,high_performance_shortboard,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Channel Islands,fishbeard,performance_fish,performance_fish; modern_fish; twin_fin_performance,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Channel Islands,g-skate,twin_fin_performance,twin_fin_performance; performance_fish,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Channel Islands,happy-everyday,performance_daily_driver,performance_daily_driver,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Channel Islands,neckbeard-3,small_wave_daily_driver,small_wave_daily_driver; performance_groveller,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Channel Islands,taco-grinder-1,performance_step_up,performance_step_up; barrel_board; travel_step_up,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Channel Islands,the-black-beauty,performance_step_up,performance_step_up; barrel_board,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Channel Islands,the-water-hog,mini_mal,mini_mal; cruisy_longboard,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Channel Islands,twin-pin,twin_fin_performance,twin_fin_performance; point_break_fish,high,Concise curated classification; retain manufacturer evidence as the primary authority.
Chilli,Blueprint,high_performance_shortboard,high_performance_shortboard,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Chilli,Faded 2.0 Step Up,performance_step_up,performance_step_up; barrel_board,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Chilli,Middy,cruisy_mid_length,cruisy_mid_length; performance_mid_length,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Chilli,Peppa Twin,twin_fin_performance,twin_fin_performance; modern_fish,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Chilli,Piña Colada,forgiving_groveller,forgiving_groveller; small_wave_speed_board,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Chilli,Rare Bird EVO,hybrid_daily_driver,hybrid_daily_driver; forgiving_daily_driver,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Chilli,Sugar,modern_fish,modern_fish; small_wave_fish,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Chilli,Volume II,hybrid_daily_driver,hybrid_daily_driver; forgiving_daily_driver,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Christenson,C-Bucket,cruisy_mid_length,cruisy_mid_length; mid_length_single_fin,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Christenson,C-Hawk,performance_step_up,performance_step_up; barrel_board,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
Christenson,Chris Craft,cruisy_longboard,cruisy_longboard; performance_longboard,medium,Concise curated classification; retain manufacturer evidence as the primary authority.
