manufacturer,model,canonical_id,official_product_url,existing_primary_family,existing_design_subtype,proposed_primary_category,secondary_categories,fin_configuration,wave_power,wave_types,ability_range,paddle_profile,performance_profile,recommendation_lanes,excluded_lanes,source_summary,manufacturer_evidence,rocker_notes,rail_notes,tail_notes,key_trade_offs,source_confidence,classification_confidence,classification_status,changed_from_current,change_reason,review_decision,review_notes
Chilli,A2,8090,https://www.chillisurfboards.com/surfboards/detail.php?id=4044&direct=1&region=aus,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,weak,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"A board that has been slightly modified over the past year through our Project Black program. Tried, tested and loved by our team, we were excited to release it and knew you were going to love it too. The original cad file was named 'ai8curve.cet' and has a creation date of 12/02/2003 - it sat in the archives of James Macbook. This model back then (named A2 Curve) was developed with the help of Andy Irons who rode and loved the board throughout 03 & 04. Since then, machines and software quickly became outdated. With new technology James has resurrected some old faithful files, this being one of them. We tweaked it with a modern day outline, concave and with a few minor adjustments by our team, the board came to life. It sits in our Premium Performance category for a reason, the A2 likes to be pushed hard, it drives through critical sections with precision and is as smooth on rail through turns as youd expect from a board ridden by AI. With a reasonably gentle rocker, single concave and tight squash with tail lift you can really give it some. The A2, a shortboard you need in your quiver.","It sits in our Premium Performance category for a reason, the A2 likes to be pushed hard, it drives through critical sections with precision and is as smooth on rail through turns as youd expect from a board ridden by AI. With a reasonably gentle rocker, single concave and tight squash with tail lift you can really give it some.",,"With a reasonably gentle rocker, single concave and tight squash with tail lift you can really give it some.",,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Chilli,Blueprint,8092,https://www.chillisurfboards.com/surfboards/detail.php?id=25400&direct=1&region=aus,High Performance Shortboard,Competition HPSB,performance_shortboard,,Thruster,moderate,,Advanced | Expert,low_moderate,very_high,performance_shortboard | good_wave | competition,alternative | beginner | big_wave | daily_driver | everyday | fish | flow | forgiving_shortboard | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated high-performance shortboard classification.,"The Blueprint is a modern, high-performance shortboard built for speed, precision, and sensitivity. Designed with a medium nose and tail rocker, medium-low responsive rails, and a single concave running nose to tail, this board delivers explosive performance with control. The deepest point of concave between the fins creates lift, drive, and hold during high-speed manoeuvres, making it razor-sharp through transitions and locked in on rail. Exceptionally fast off the bottom and perfectly tuned for tight, pocket-style surfing, the Blueprint excels in a wide range of conditions. While its geared towards above-average to advanced surfers, the Blueprint is also ideal for those looking to push their surfing to the next level. Conditions  all conditions up to 6 feet. Concave  Single Rails - Med low rails Rocker - Med entry and exit rocker, continuous curve",low rails Rocker - Med entry and exit rocker,low rails,"Designed with a medium nose and tail rocker, medium-low responsive rails, and a single concave running nose to tail, this board delivers explosive performance with control.",,medium,high,proposed_for_owner_review,False,current primaryFamily=High Performance Shortboard; \bhigh performance shortboard\b; \bperformance shortboard\b; \bhpsb\b,,
Chilli,Blueprint Grom,8093,https://www.chillisurfboards.com/surfboards/detail.php?id=25279&direct=1&region=aus,High Performance Shortboard,Competition HPSB,performance_shortboard,,Thruster,moderate,,Advanced | Expert,low_moderate,very_high,performance_shortboard | good_wave | competition,alternative | beginner | big_wave | daily_driver | everyday | fish | flow | forgiving_shortboard | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy performance_shortboard.,"The Blueprint is a modern, high-performance shortboard built for speed, precision, and sensitivity. Designed with a medium nose and tail rocker, medium-low responsive rails, and a single concave running nose to tail, this board delivers explosive performance with control. The deepest point of concave between the fins creates lift, drive, and hold during high-speed manoeuvres, making it razor-sharp through transitions and locked in on rail. Exceptionally fast off the bottom and perfectly tuned for tight, pocket-style surfing, the Blueprint excels in a wide range of conditions. While its geared towards above-average to advanced surfers, the Blueprint is also ideal for those looking to push their surfing to the next level. Conditions  all conditions up to 6 feet. Concave  Single Rails - Med low rails Rocker - Med entry and exit rocker, continuous curve",low rails Rocker - Med entry and exit rocker,low rails,"Designed with a medium nose and tail rocker, medium-low responsive rails, and a single concave running nose to tail, this board delivers explosive performance with control.",,medium,high,proposed_for_owner_review,False,current primaryFamily=High Performance Shortboard; \bhigh performance shortboard\b; \bperformance shortboard\b; \bhpsb\b,,
Chilli,BV2,8091,https://www.chillisurfboards.com/surfboards/detail.php?id=8777&direct=1&region=aus,Groveller,Small Wave Performance,groveller,,Thruster | Five Fin,weak,,Intermediate | Advanced,high,moderate_small_wave,groveller | small_wave | weak_wave,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | flow | forgiving_shortboard | good_wave | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin,Mapped from canonical taxonomy groveller.,"The BV2 is made for summer. This is a new model developed from the popular Black Vulture. The BV2 sits in the summer board category and has been designed with increased speed and higher performance than the original. With smaller, weaker waves in mind when designing this board, weve blended features from the original Black Vulture to create a speed generating board with a generous sweet spot. Lets break it down: OUTLINE: The outline has a full nose for paddle power and speed in flat/fat surf. The middle section is curvey (nice rail line to turn from) with the wide point slightly more forward than a regular board. Through the tail, we removed the semi flyer from the original Black Vulture and in doing so, added a straighter rail line into the swallow that gives this board hold and control through turns. ROCKER: The board has a flat-medium entry and a flat-medium tail exit. It has slightly less rocker in the tail than the original Black Vulture which has given the BV2 a speed generating bottom. CONTOURS: Bottom contour is single concave from the nose down to the bottom 1/3 of the board. It then goes into a very slight double concave that runs out through the tail behind the fins. A balanced and forgiving bottom. PERFORMANCE: Through the R & D of this model, the Black Vulture already had great attributes. Performance matched with a friendly forgiving outline. The BV2 is noticeabl","The middle section is curvey (nice rail line to turn from) with the wide point slightly more forward than a regular board. Through the tail, we removed the semi flyer from the original Black Vulture and in doing so, added a straighter rail line into the swallow that gives this board hold and control through turns.",,"Through the tail, we removed the semi flyer from the original Black Vulture and in doing so, added a straighter rail line into the swallow that gives this board hold and control through turns. ROCKER: The board has a flat-medium entry and a flat-medium tail exit.",,low,high,proposed_for_owner_review,False,current primaryFamily=Groveller; \bgrovell?er\b,,
Chilli,Churro 2,8094,https://www.chillisurfboards.com/surfboards/detail.php?id=12815&direct=1&region=aus,Daily Driver,All Round Daily Driver,daily_driver,,Thruster | Five Fin,weak,beach_break,Progressing | Intermediate | Advanced,moderate,moderate,daily_driver | everyday,alternative | beginner | big_wave | competition | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy daily_driver.,"The Churro got an upgrade! Our new daily driver model, the Churro 2 has next-level small wave performance features that is an essential board to add to your quiver to dominate conditions from 2-foot slop through to 5-foot pumping surf. With a focus on super user-friendly, performance surfing and everyday conditions in mind, James blended all the favourite features of the original board (fast and forgiving) with a few updated tweaks, and weve arrived with an essential daily driver that will connect all the dots from beach break junk to long point breaks (and everything in between), this board will bring you the stoke! The outline has been pulled in slightly at the nose and tail (around the 12 mark, losing the hips & shoulders) from the original Churro and has really given the Churro 2 a smoother, less catchy feel. The wide point is relatively neutral in the centre of the board (providing a massive sweet spot) continuing down into a neat round square tail with enough width to carry you through any slower section that gets thrown your way. The rockers very forgiving much like the original. The moderate entry, flattish middle and moderate exit out the tail gives you unlimited down the line speed. Simple single to very slight double concave out the fins bottom contour keeps this board incredibly user friendly in all conditions. Through the Project Black R&D stages of this mode",The rockers very forgiving much like the original.,,"Our new daily driver model, the Churro 2 has next-level small wave performance features that is an essential board to add to your quiver to dominate conditions from 2-foot slop through to 5-foot pumping surf. The outline has been pulled in slightly at the nose and tail (around the 12 mark, losing the hips & shoulders) from the original Churro and has real",,medium,high,proposed_for_owner_review,False,current primaryFamily=Daily Driver; \bdaily driver\b,,
Chilli,FAD3R,8095,https://www.chillisurfboards.com/surfboards/detail.php?id=23696&direct=1&region=aus,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,powerful,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"The FAD3R is a refined evolution of the original Fader, blending its predecessors smooth glide and versatility with enhanced performance and paddle power. This updated model is designed for surfers seeking a balance between easy wave entry and responsive manoeuvrability, making it the model for a variety of conditions. When youre planning a trip, you cant always pack all your boards. The FAD3R a serve as a one size fits all, capable of handling both mid-sized waves and the heavier waves typical of many overseas surf spots. Ideal for medium to bigger wave sized waves. The FAD3R , maintains its ability to perform in the pocket, while exceeding in more powerful waves. Key Features; Improved Paddle Power  A refined outline and volume distribution provides better float where you need it while paddling, making it easier to catch waves. Enhanced Performance  Sharper rails provide a more dynamic rocker line allowing for quicker transition in the pocket and responsiveness in critical sections of the wave. Versatility across conditions  Ideal for medium to bigger wave sized waves. The Fad3r, maintains its ability to perform in the pocket, while exceeding in more powerful waves. Practicality for Travel  When travelling, you cant always pack multiple boards. The FAD3R a serve as a one size fits all, capable of handling both mid- sized waves and the heavier waves typical of many ove",Enhanced Performance  Sharper rails provide a more dynamic rocker line allowing for quicker transition in the pocket and responsiveness in critical sections of the wave.,,,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Chilli,Faded 2.0,8096,https://www.chillisurfboards.com/surfboards/detail.php?id=7907&direct=1&region=aus,Step Up,Reef Step Up,step_up,,Thruster,powerful,,Advanced | Expert,moderate,high_powerful_wave,step_up | powerful_wave | hollow_wave,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | small_wave | small_wave_shortboard | softboard | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy step_up.,"Need a good wave, one board quiver? Well, this is the board youre after. The second incarnation of the Faded is designed for hollow, heavier waves, this board paddles like a step-up and surfs like a shortboard. Designed with Jay Davies with both overseas travel and pumping waves at home in mind, this board has been put through its paces in places from Costa Rica to West Oz. While its primarily designed for hollow tubes, dont worry, itll glide like butter in good waves anywhere from 3 foot to 8-plus. OUTLINE: The Faded 2.0 has a full nose (paddle power) and smooth middle to relatively straight bottom 1/3 of the board which gives the board drive out through the rounded pin-tail. ROCKER: The board has a flat-medium entry, and a smooth medium tail rocker. This compliments the double concave and vee bottom contour. In essence, its fast with a lot of control in tight situations CONTOURS: Bottom contour is single concave from 12 inches down to middle of the board, a slight double concave from the midpoint runs down into a vee out through the tail. This gives the board hold and drive when youre in hollow, fast waves where control is necessary. RAIL: Low-medium. Good for holding a line in fast, hollow waves. WAVE HEIGHT: 3  8 foot. SURFER SKILL LEVEL: Intermediate to advanced. FINS: Comes as a 5-fin set-up. The thruster set-up is standard with the quad rears placed slightly mor","ROCKER: The board has a flat-medium entry, and a smooth medium tail rocker. RAIL: Low-medium.",,"Designed with Jay Davies with both overseas travel and pumping waves at home in mind, this board has been put through its paces in places from Costa Rica to West Oz. OUTLINE: The Faded 2.0 has a full nose (paddle power) and smooth middle to relatively straight bottom 1/3 of the board which gives the board drive out through the rounded pin-tail.",,medium,high,proposed_for_owner_review,False,current primaryFamily=Step Up; \bstep[ -]?up\b,,
Chilli,Faded 2.0 Gun,8097,https://www.chillisurfboards.com/surfboards/detail.php?id=7917&direct=1&region=aus,Mid Length,Mid Length,step_up,mid_length,Single | Two Plus One | Twin,powerful,,Progressing | Intermediate | Advanced,moderate,high_powerful_wave,step_up | powerful_wave | hollow_wave,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | small_wave | small_wave_shortboard | softboard | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy mid_length.,"James initially designed this board for Jay Davies to handle the heavy water of the West Oz outer reefs. Since then, this board has been R&Dd through-out the epic Australian east coast winter of 2020 and Hawaii. Weve designed this board with maximum attention to detail. A 9mm hardwood cedar stringer and double leash plug gives the rider full confidence in challenging conditions. OUTLINE: The Faded 2.0 Gun outline is fast. The nose holds enough outline area to have an incredible amount of paddle power. This is amplified with the 'beak' nose that holds more foam from under the chest right up to the nose tip. From the middle down to the pin tail is foiled together with the deck and bottom rocker to create an insane amount of hold. Just what this board requires. ROCKER: The board has a medium entry, and a smooth medium tail rocker. These compliment the Vee Double Concave bottom contour. The rocker plays a big part in the paddling momentum thats needed when surfing big waves. The water is moves much faster and gaining speed in a few strokes is essential. CONTOURS: Vee Double Concave runs down the full bottom of the board (nose to tail). It gives the board complete traction onto the wave face. This board is guaranteed to hold in waves on consequence. RAIL: Full rail to add to the paddle power in the top 1/3 of the board, evens out in the middle which tapers down low towards th","From the middle down to the pin tail is foiled together with the deck and bottom rocker to create an insane amount of hold. ROCKER: The board has a medium entry, and a smooth medium tail rocker.",Full rail,pin tail,,low,medium,proposed_for_owner_review,True,\bheavy water\b,,
Chilli,Faded 2.0 Step Up,8098,https://www.chillisurfboards.com/surfboards/detail.php?id=7912&direct=1&region=aus,Step Up,Reef Step Up,step_up,,Thruster,powerful,,Advanced | Expert,moderate,high_powerful_wave,step_up | powerful_wave | hollow_wave,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | small_wave | small_wave_shortboard | softboard | traditional_fish | twin_pin | weak_wave,Curated step-up classification.,"Alongside its brother (Faded 2.0 regular) we have designed, tested and delivered a heavy water Step-Up version. With feedback from team, we ´grew´ the Faded 2.0 in length, lowered the rail, pulled in the tail and kept the width to a minimum. You can pull this board out when the swell charts are looking extra punchy, the period is longer and your thinking about that 8ft heavy water leg rope that rarely gets used. Jay Davies rides this board in the raw West Oz swell (also Hawaii) in sizes from 6´4 to 7´0 and approves. Need a Step-Up? This is your board. OUTLINE The Faded 2.0 Step-Up has a slightly fuller nose and holds some foam under the chest for paddle power. The bottom 2/3 of the board are a simple smooth fast outline into a Pin tail. ROCKER The board has a flat-medium entry, and a smooth medium tail rocker. This compliments the double concave and vee bottom contour. In essence, it´s fast with a lot of control in tight situations. CONTOURS Bottom contour is single concave from 12 inches down to middle of the board, a slight double concave from the midpoint runs down into a vee out through the tail. This gives the board hold and drive when you´re in hollow, fast waves where control is necessary. RAIL Low rail. Good for holding a line in fast, hollow waves. FINS: Comes as a 5-fin set-up. Fin Recommendations: Control comes to mind with a board like this, so these are the fins we","With feedback from team, we ´grew´ the Faded 2.0 in length, lowered the rail, pulled in the tail and kept the width to a minimum. ROCKER The board has a flat-medium entry, and a smooth medium tail rocker.",Low rail,Pin tail,,medium,high,proposed_for_owner_review,False,current primaryFamily=Step Up; \bstep[ -]?up\b; \bheavy water\b,,
Chilli,Full Strength,8099,https://www.chillisurfboards.com/surfboards/detail.php?id=18457&direct=1&region=aus,Mid Length,Mid Length,mid_length,daily_driver | performance_mid_length,Single | Two Plus One | Twin,moderate,,Progressing | Intermediate | Advanced,high,flow_and_trim,mid_length | paddle_support | flow,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy mid_length.,"Introducing the Full Strength designed by James Cheal. The next generation in our 'mid-length' category was inspired by James' journey to the Mentawai Islands, Indonesia with his son. With a quiver of the popular Mid Strength that is used mainly in the east coast of Australia conditions, he thought it would be good to create something different with a progressive performance outline, but still have the attributes of his much-loved Mid Strength. James refined and designed a 6'6 and 6'10 Project Black Full Strength to R&D on his trip, both with subtle tweaks and variances to find a perfect performance mid-length. James found the 6'6 Full Strength to be a perfect all-rounder in 3ft - 6ft conditions. James is 52 years old and 85kg. The 6'10 got ridden when James wanted to take it easy, catch more waves, and found it fit in the pocket on good waves and still able to turn on a dime. What is the difference between the Mid Strength and Full Strength? 1. The Full Strengths outline is pulled in at the nose by 1/8"" decreasing drag up front. The back end is also narrower creating a nice, rounded pin tail giving it more of a shortboard feel. This allows the board to perform better in the pocket, and at higher speeds on the face while maintaining that paddle power the Mid Strength possesses. 2. The Full Strength's rail is lower with a more rolled deck, allowing for more progressive surfing ","The Full Strength's rail is lower with a more rolled deck, allowing for more progressive surfing and greater bite on the wave face, again, at higher speeds for when the surf is good. The rocker and bottom contours of this updated board are very similar to the Mid Strength (if it ain't broke, don",,rounded pin tail,,medium,high,proposed_for_owner_review,False,current primaryFamily=Mid Length; \bmid[ -]?length\b,,
