manufacturer,model,canonical_id,official_product_url,existing_primary_family,existing_design_subtype,proposed_primary_category,secondary_categories,fin_configuration,wave_power,wave_types,ability_range,paddle_profile,performance_profile,recommendation_lanes,excluded_lanes,source_summary,manufacturer_evidence,rocker_notes,rail_notes,tail_notes,key_trade_offs,source_confidence,classification_confidence,classification_status,changed_from_current,change_reason,review_decision,review_notes
Sharp Eye,#77,8019,https://www.sharpeyesurfboards.com.au/products/77,High Performance Shortboard,Competition HPSB,performance_shortboard,,Thruster,moderate,,Advanced | Expert,low_moderate,very_high,performance_shortboard | good_wave | competition,alternative | beginner | big_wave | daily_driver | everyday | fish | flow | forgiving_shortboard | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy performance_shortboard.,"Overview #77 Model The #77 from SHARPEYE Surfboards delivers the world's fastest surfboard with Superior Performance. A Filipe Toledo Pro Model. The #77 features a full entry and exit rocker, sensitive low rails for maximum control and bite, and a speed-generating deep single concave that runs from the nose through the tail. The deepest point of the concave is positioned between the fins providing an abundance of drive and grip through high-speed manoeuvres. The #77 offers superior performance in various conditions and sizes but is recommended for intermediate to expert surfers only. Built for Superior Performance. Model Outline Pro model. Performance shortboard outline delivering Superior Performance. Bottom Contours Deep Single Concave. Fin Setup Thruster. Recommended fins: FCS: Filipe Toledo PC Fins or SharpEye PC Fins Futures: SharpEye Fins or F8 Fins",full entry and exit rocker,sensitive low rails,Round,,medium,high,proposed_for_owner_review,False,current primaryFamily=High Performance Shortboard; \bhigh performance shortboard\b; \bperformance shortboard\b; \bhpsb\b,,
Sharp Eye,Cheat Code,8020,https://www.sharpeyesurfboards.com.au/products/cheater,Small Wave Shortboard,Small Wave Performance,small_wave_shortboard,performance_shortboard,Thruster | Five Fin,weak,,Intermediate | Advanced,moderate_high,moderate_high_small_wave,small_wave_shortboard | small_wave | daily_driver,alternative | beginner | big_wave | competition | everyday | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated small-wave performance classification.,"Overview CHEAT CODE Model The Cheat Code from SHARPEYE Surfboards delivers the world's fastest surfboard developed to offer High Volume Performance in small-sized conditions. A tuned-up, up-volumed performance shortboard. The Cheat Code features a forgiving boxy rail that minimises rail catches in full / flat sections and sub-par conditions. The bottom contour features a medium single concave that ends between the fins ending with a flat exit. These concaves combine with a flat entry rocker that flows seamlessly into a flat exit rocker, providing an instant burst of speed from take-off with exceptional control, drive and carry in small-sized conditions. We recommend riding this board 2-4 inches shorter than your regular shortboard and adding a touch of width and thickness. Model Outline Performance Range. Performance step-down outline delivering High Volume Performance in small-sized conditions. Bottom Contours Medium Single Concave to Flat Exit. Fin Setup 2+1 / Thruster / Quad. Recommended fins: FCS: Filipe Toledo PC Fins or SharpEye PC Fins Futures: SharpEye Fins or F8 Fins",flat entry rocker / lows seamlessly into a flat exit rocker,forgiving boxy rail,Squash,,medium,high,proposed_for_owner_review,False,current primaryFamily=Small Wave Shortboard; \bsmall[ -]?wave shortboard\b; \bsmall-wave performance\b,,
Sharp Eye,Disco,8021,https://www.sharpeyesurfboards.com.au/products/disco,High Performance Shortboard,Competition HPSB,performance_shortboard,,Thruster,moderate,,Advanced | Expert,low_moderate,very_high,performance_shortboard | good_wave | competition,alternative | beginner | big_wave | daily_driver | everyday | fish | flow | forgiving_shortboard | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy performance_shortboard.,"Overview DISCO Model The Disco from SHARPEYE Surfboards delivers the world's fastest surfboard with entry-level All-Round Performance in everyday conditions. The Disco is an entry-level performance shortboard that features a full entry rocker that seamlessly flows into a flattened exit, combined with a reliable, controlled medium rail. The bottom contour features a medium single concave that flows into a deep double between the fins, eventually blending into a flat exit that provides an instant burst of speed from take-off and delivers maximum speed generation whilst maintaining manoeuvrability and drive. The Disco provides entry-level All-Round performance in smaller conditions. Model Outline Performance Range. Performance shortboard outline delivering entry-level All-Round Performance in everyday conditions. Bottom Contours Medium Single to Deep Double Concave to Flat Exit. Fin Setup Thruster. Recommended fins: FCS: Filipe Toledo PC Fins or SharpEye PC Fins Futures: SharpEye Fins or F8 Fins",full entry rocker,medium rail,Squash,,medium,high,proposed_for_owner_review,False,current primaryFamily=High Performance Shortboard; \bhigh performance shortboard\b; \bperformance shortboard\b; \bhpsb\b,,
Sharp Eye,Disco II,8022,https://www.sharpeyesurfboards.com.au/products/disco-ii,High Performance Shortboard,Competition HPSB,performance_shortboard,,Thruster,moderate,,Advanced | Expert,low_moderate,very_high,performance_shortboard | good_wave | competition,alternative | beginner | big_wave | daily_driver | everyday | fish | flow | forgiving_shortboard | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy performance_shortboard.,"Overview DISCO II Model The Disco II from SHARPEYE Surfboards delivers the world's fastest surfboard with entry-level All-Round Performance. The Disco II is an entry-level performance shortboard. The Disco II is an updated version of the original Disco Model with some tweaks to provide added speed and flow in everyday conditions. The Disco II features a full entry rocker that seamlessly flows into a flattened exit, combined with a reliable, controlled medium rail. The bottom contour features a medium single concave that flows into a deep double between the fins, eventually blending into a flat exit that provides an instant burst of speed from take-off and delivers maximum speed generation whilst maintaining manoeuvrability and drive. The Disco II model provides entry-level All-Round Performance in smaller conditions. Model Outline Performance Range. Performance shortboard outline delivering entry-level All-Round Performance in everyday conditions. Bottom Contours Medium Single to Deep Double Concave to Flat Exit. Fin Setup Thruster. Recommended fins: FCS: Filipe Toledo PC Fins or SE PC Fins Futures: SE Fins or F8 Fins",full entry rocker,medium rail,Squash,,medium,high,proposed_for_owner_review,False,current primaryFamily=High Performance Shortboard; \bhigh performance shortboard\b; \bperformance shortboard\b; \bhpsb\b,,
Sharp Eye,Disco Inferno,8023,https://www.sharpeyesurfboards.com.au/products/disco-inferno,High Performance Shortboard,Competition HPSB,performance_shortboard,,Thruster,moderate,,Advanced | Expert,low_moderate,very_high,performance_shortboard | good_wave | competition,alternative | beginner | big_wave | daily_driver | everyday | fish | flow | forgiving_shortboard | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated high-performance classification.,"Overview DISCO INFERNO Model The Disco Inferno from SHARPEYE Surfboards delivers the world's fastest surfboard with Electric Performance in everyday conditions. The forerunner of the Inferno 72, the Disco Inferno is a performance shortboard that features a medium entry rocker that seamlessly flows into a flattened exit combined with a reliable, controlled medium rail. The bottom contour features a medium single concave that flows into a deep double between the fins, eventually blending into a flat exit through the tail that provides an instant burst of speed from take-off and delivers maximum speed generation whilst maintaining manoeuvrability and drive. The Disco Inferno delivers an optimal combination for Electric Performance in everyday conditions. Model Outline Performance Range. Performance shortboard outline delivering Electric Performance in everyday conditions. Bottom Contours Medium Single to Deep Double Concave to Flat Exit. Fin Setup Thruster. Recommended fins: FCS: Filipe Toledo PC Fins or SharpEye PC Fins Futures: SharpEye Fins or F8 Fins",medium entry rocker,medium rail,Squash,,medium,high,proposed_for_owner_review,False,current primaryFamily=High Performance Shortboard; \bhigh performance shortboard\b; \bperformance shortboard\b; \bhpsb\b,,
Sharp Eye,File Fifty,8024,https://www.sharpeyesurfboards.com.au/products/file-fifty,High Performance Shortboard,Competition HPSB,performance_shortboard,,Thruster,moderate,,Advanced | Expert,low_moderate,very_high,performance_shortboard | good_wave | competition,alternative | beginner | big_wave | daily_driver | everyday | fish | flow | forgiving_shortboard | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy performance_shortboard.,"Overview FILE FIFTY Model The File Fifty from SHARPEYE Surfboards delivers the world's fastest surfboard with Elite Performance. A team favourite, the File Fifty offers Elite Performance. Featuring a medium entry and exit rocker, sensitive low rails for maximum control and bite, and a speed-generating deep single concave that runs from the nose through the tail. The deepest point of the concave is positioned between the fins providing an abundance of drive and grip through high-speed manoeuvres. The File Fifty offers Elite Performance in various conditions and sizes but is recommended for intermediate to expert surfers only. If you are looking for Elite Performance, choose the File Fifty. Model Outline Performance Range. Performance shortboard outline delivering Elite Performance. Bottom Contours Deep Single Concave. Fin Setup Thruster. Recommended fins: FCS: SharpEye PC Fins Futures: SharpEye Fins",medium entry and exit rocker,sensitive low rails,Round,,medium,high,proposed_for_owner_review,False,current primaryFamily=High Performance Shortboard; \bhigh performance shortboard\b; \bperformance shortboard\b; \bhpsb\b,,
Sharp Eye,Holy Toledo,8027,https://www.sharpeyesurfboards.com.au/products/holy-toledo,High Performance Shortboard,Competition HPSB,performance_shortboard,,Thruster,moderate,,Advanced | Expert,low_moderate,very_high,performance_shortboard | good_wave | competition,alternative | beginner | big_wave | daily_driver | everyday | fish | flow | forgiving_shortboard | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy performance_shortboard.,"Overview HOLY TOLEDO Model The Holy Toledo from SHARPEYE Surfboards delivers the world's fastest surfboard with Maximum Speed and Lift. The original Filipe Toledo pro model. The Holy Toledo was designed to complement Filipe's aerial prowess and provide effortless speed and lift. The Holy Toledo model features a performance outline with a narrow squash tail, a medium rail and a deep single concave with a generous sweet spot between the feet for maintained sensitivity and maximum control. A medium entry rocker with added forward volume provides instant speed from take-off. The entry rocker blends seamlessly into a full exit rocker, delivering superior manoeuvrability through critical manoeuvres. The Holy Toledo offers unmatched speed and lift in the right conditions but is recommended for intermediate to expert surfers only. Ride the Holy Toledo model the same length as your height. If you are looking for maximum speed and lift, choose the Holy Toledo. Model Outline Pro Range. Performance shortboard outline delivering Maximum Speed and Lift. Bottom Contours Deep Single Concave. Fin Setup Thruster. Recommended fins: FCS: Filipe Toledo PC Fins or SharpEye PC Fins Futures: SharpEye Fins or F8 Fins",medium entry rocker / full exit rocker,medium rail,Squash,,medium,high,proposed_for_owner_review,False,current primaryFamily=High Performance Shortboard; \bhigh performance shortboard\b; \bperformance shortboard\b; \bhpsb\b,,
Sharp Eye,HT2,8025,https://www.sharpeyesurfboards.com.au/products/ht2-youth,High Performance Shortboard,Competition HPSB,performance_shortboard,,Thruster,moderate,,Advanced | Expert,low_moderate,very_high,performance_shortboard | good_wave | competition,alternative | beginner | big_wave | daily_driver | everyday | fish | flow | forgiving_shortboard | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy performance_shortboard.,"Overview HT2 YTH Model The HT2 YTH from SHARPEYE Surfboards has been developed for youth to Push their Performance. A truly scaled-down version of the HT2, a Filipe Toledo Pro Model. The HT2 YTH features a forgiving yet sensitive medium/boxy rail that minimises rail catches in both full/flat sections and sub-par conditions. The HT2 YTH combines a deep single concave and a generous sweet spot between the feet with a medium entry rocker for an instant burst of speed on take-off. The entry rocker flows seamlessly into a flattened exit rocker, delivering peak hold and drive where needed. The HT2 YTH delivers the perfect combination to Push the Performance in everyday conditions. Model Outline Performance Range. Performance shortboard outline delivers the perfect combination to Push the Performance in everyday conditions . Bottom Contours Deep Single Concave. Fin Setup Thruster. Recommended fins: FCS: Filipe Toledo PC Fins or SharpEye PC Fins Futures: SharpEye Fins or F8 Fins",medium entry rocker / lows seamlessly into a flattened exit rocker,boxy rail,Squash,,medium,high,proposed_for_owner_review,False,current primaryFamily=High Performance Shortboard; \bhigh performance shortboard\b; \bperformance shortboard\b; \bhpsb\b,,
Sharp Eye,HT2.5,8026,https://www.sharpeyesurfboards.com.au/products/ht2-5,High Performance Shortboard,Competition HPSB,performance_shortboard,,Thruster,moderate,,Advanced | Expert,low_moderate,very_high,performance_shortboard | good_wave | competition,alternative | beginner | big_wave | daily_driver | everyday | fish | flow | forgiving_shortboard | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated high-performance classification.,"Overview HT2.5 Model Overview The HT2.5 from SHARPEYE Surfboards delivers the world's fastest surfboard with added Speed, Bite and Drive that delivers Peak Everyday Performance. A Filipe Toledo Pro Model. The HT2.5 is the evolution of the HT2. The HT2.5 features a forgiving yet sensitive medium/boxy rail that minimises rail catches in both full/flat sections and sub-par conditions. The HT2.5 combines a deep single concave with a baby channel through the tail that provides an explosive boost in speed, bite and drive. A medium entry rocker delivers an instant burst of speed on take-off, that flows seamlessly into a flattened exit rocker, delivering peak performance where needed. A perfect combination for everyday conditions. The HT2.5 provides versatility and consistency in everyday conditions with added Speed, Bite and Drive that delivers Peak Everyday Performance. Model Outline Pro model. Performance shortboard outline delivers versatility and consistency with added Speed, Bite and Drive that delivers Peak Everyday Performance. Bottom Contours Deep Single Concave to Baby Channel Exit. Fin Setup Thruster. Recommended fins: FCS: Filipe Toledo PC Fins or SharpEye PC Fins Futures: SharpEye Fins or F8 Fins",medium entry rocker / lows seamlessly into a flattened exit rocker,boxy rail,Swallow,,medium,high,proposed_for_owner_review,False,current primaryFamily=High Performance Shortboard; \bhigh performance shortboard\b; \bperformance shortboard\b; \bhpsb\b,,
Sharp Eye,Inferno 72,8028,https://www.sharpeyesurfboards.com.au/products/inferno-72-youth,Performance Daily Driver,Performance Daily Driver,performance_daily_driver,daily_driver | performance_shortboard,Thruster | Five Fin,moderate,,Intermediate | Advanced,moderate,high_everyday,performance_daily_driver | daily_driver | performance_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Reviewed performance daily-driver classification.,"Overview INFERNO 72 YTH Model The Inferno 72 YTH from SHARPEYE Surfboards delivers the world's fastest surfboard with Proven Youth Performance for the youth surfer looking to surf their best in everyday conditions. This model was developed to offer proven performance in small to medium-sized conditions. A global staple favoured by professional and everyday surfers alike, the Stab in the Dark winning Inferno 72 model is the must-have, tuned-up, everyday shortboard. The Inferno 72 YTH is a perfectly scaled version of the widely-loved Inferno 72. Featuring a medium single concave that flows into a deep double between the fins. These concaves combine with a medium entry rocker that flows seamlessly into a medium exit rocker, providing an instant burst of speed from take-off and an exceptional balance of manoeuvrability and drive. These features integrate with a reliable, controlled medium rail to deliver the perfect combination for everyday conditions. The Stab in the Dark winning Inferno 72's proven performance will handle just about any conditions thrown at it. It's recommended to order the Inferno 72 YTH in the same size as your go-to shortboard. Drop one inch for a step-down. Model Outline Performance Range. Performance shortboard outline delivering an exceptional balance of manoeuvrability and drive the perfect combination for everyday conditions. Bottom Contours Medium Single",medium entry rocker / lows seamlessly into a medium exit rocker,medium rail,Squash,,medium,high,proposed_for_owner_review,False,current primaryFamily=Performance Daily Driver; \bperformance daily driver\b,,
