manufacturer,model,canonical_id,official_product_url,existing_primary_family,existing_design_subtype,proposed_primary_category,secondary_categories,fin_configuration,wave_power,wave_types,ability_range,paddle_profile,performance_profile,recommendation_lanes,excluded_lanes,source_summary,manufacturer_evidence,rocker_notes,rail_notes,tail_notes,key_trade_offs,source_confidence,classification_confidence,classification_status,changed_from_current,change_reason,review_decision,review_notes
Channel Islands,average-joe,7714,https://cisurfboards.com/products/average-joe,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Over the last six years and hundreds of stops on our demo tour we have learned a few things. One of those is that surfers sometimes want something simple, fun, and easy to ride. Light single concave for the first 1/3 to deepening concave vee throughout. The Joe can be surfed off the rail or tail that has Al's signature",The Joe can be surfed off the rail or tail that has Al's signature,,The Joe can be surfed off the rail or tail that has Al's signature,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Channel Islands,better-everyday,7715,https://cisurfboards.com/products/better-everyday,Performance Daily Driver,Performance Daily Driver,performance_daily_driver,daily_driver,Thruster | Five Fin,moderate,,Intermediate | Advanced,moderate,high_everyday,performance_daily_driver | daily_driver | performance_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Reviewed everyday performance classification.,"For 2025, we introduce the Better Everyday! The Happy Everyday quickly became one of our favorite boards and we found ourselves wondering…""how can we ride this even more""? Thankfully, Britt and team went to work. Keeping all the characteristics that make the HE a great stepdown performance board…in the Better Every",,,Keeping all the characteristics that make the HE a great stepdown performance board…in the Better Every,,medium,high,proposed_for_owner_review,False,current primaryFamily=Performance Daily Driver; \bperformance daily driver\b,,
Channel Islands,big-happy,7716,https://cisurfboards.com/products/big-happy,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"The Big Happy is our solution for older or bigger surfers that value performance. Easiest way to think about it, Britt designed this board for himself being 6'6, 52 years old, and realizing his strength and mobility are not what they used to be…but he still thinks he can rip. Lower entry rocker Generous thickness forw",Lower entry rocker,,,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Channel Islands,bobby-quad,7718,https://cisurfboards.com/products/bobby-quad,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Bobby Martinez challenged us to build him as short of a board as possible with the goal of maximizing his fun in Santa Barbara's tiny summer surf. He also added that it had to be a quad, and it still had to live up to his high-performance standards. Bobby's shortboards are 5'8"" but for this customized four-finner he wa",,,,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Channel Islands,bunny-chow,7719,https://cisurfboards.com/products/bunny-chow,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver | performance_shortboard,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"The Bunny Chow has been Jordy Smith's board of choice for his World Tour campaigns in poor to fair surf. Designed around Jordy's large build and dynamic approach, the Bunny Chow is equally suited to be on rail or the air. Jordy rides his 6'1"" x 11.9"" x 19"" x 15.27"" x 2.5"" at 31.6L with 5.6"" of nose rocker and 2.03"" of","Designed around Jordy's large build and dynamic approach, the Bunny Chow is equally suited to be on rail or the air. Jordy rides his 6'1"" x 11.9"" x 19"" x 15.27"" x 2.5"" at 31.6L with 5.6"" of nose rocker and 2.03"" of",,,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Channel Islands,ci-2-pro,7720,https://cisurfboards.com/products/ci-2-pro,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Meet the winning surfboard for the 2023 Stab in the Dark with Italo Ferreira, the CI 2.Pro! The 2.Pro boasts the same outline and bottom contours that won the 2022 SITD, with Jack Robinson, but utilizes a reduced overall rocker to better match the surfing style and waves we believed would be on offer for 2023. When","The 2.Pro boasts the same outline and bottom contours that won the 2022 SITD, with Jack Robinson, but utilizes a reduced overall rocker to better match the surfing style and waves we believed would be on offer for 2023.",,,,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
Channel Islands,ci-fish,7721,https://cisurfboards.com/products/ci-fish,Fish,Traditional Fish,traditional_fish,,Twin,weak,,Intermediate | Advanced,high,flow_and_speed,fish | traditional_fish | weak_wave | flow,alternative | beginner | big_wave | competition | daily_driver | everyday | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | twin_pin,Curated traditional fish classification.,"The all-new CI Fish is our Next Gen ""fish"" shape—thinned-out and tuned-up for added performance, making it a versatile craft that can energize your average grovel sesh one day then have you screaming down-the-line on clean, head high points the next. Our CI Fish's DNA can be traced back to 2005's Retro Fish, which two",,,,,medium,high,proposed_for_owner_review,False,current primaryFamily=Fish; \btraditional fish\b; \bretro fish\b,,
Channel Islands,ci-mid,7722,https://cisurfboards.com/products/ci-mid,Mid Length,Performance Mid Length,mid_length,performance_mid_length,Single | Two Plus One | Twin,moderate,,Progressing | Intermediate | Advanced,high,flow_and_trim,mid_length | paddle_support | flow,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated performance mid-length classification.,"The CI Mid is a modern classic design resulting from a fun collaboration with Devon Howard, a southern California surfer that has spent the past two decades riding and refining egg-inspired designs that are in a category of boards many refer to as midlengths. Inspired by the clean, longer-railed lines drawn by traditio","Inspired by the clean, longer-railed lines drawn by traditio",,,,medium,medium,proposed_for_owner_review,False,current primaryFamily=Mid Length; \bmid[ -]?length\b,,
Channel Islands,ci-mid-twin,7723,https://cisurfboards.com/products/ci-mid-twin,Mid Length,Mid Length,mid_length,,Single | Two Plus One | Twin,moderate,,Progressing | Intermediate | Advanced,high,flow_and_trim,mid_length | paddle_support | flow,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated twin-fin mid-length classification.,"Our original CI Mid debuted with the ever reliable 2-plus-1 fin set-up (big center fin, small sidebites). While it can also be enjoyed as a single-fin, the side-fin placement is too far forward to work properly as a twin. So, when updating our popular ""CI Mid"" to accommodate two fins, we once again worked with the Mid'",,,,,medium,high,proposed_for_owner_review,False,current primaryFamily=Mid Length; \bmid[ -]?length\b,,
Channel Islands,ci-pro,7724,https://cisurfboards.com/products/ci-pro,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"Meet Stab in the Dark's 2022 season champ: the CI Pro. Britt's winning shortboard design, as seen under the feet of Jack Robinson, was made in collaboration with Parker Coffin. The most rockered board in our current line, the CI Pro is the pinnacle of high performance. The continuous rocker which is curviest beneath yo","The most rockered board in our current line, the CI Pro is the pinnacle of high performance. The continuous rocker which is curviest beneath yo",,"The most rockered board in our current line, the CI Pro is the pinnacle of high performance.",,low,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
