brand,totalModels,modelsWithDescription,modelsWithCategory,modelsWithWaveRange,modelsWithWaveType,modelsWithWavePower,modelsWithAbility,modelsWithDesignMetadata,modelsWithRecommendationTags,modelsWithRelatedBoardEvidence,modelsWithRiderGuidance,manufacturerPrimaryDescriptions,metadataSourceQuality,topGaps,recommendedNextEnhancement
Album,19,19,10,0,0,1,0,16,12,11,0,19,high,ability: 19; wave range: 19; wave type: 19,"Repair missing manufacturer descriptions first, then curate category and alternative-board relationships."
Channel Islands,62,62,17,0,3,5,1,23,19,1,3,62,high,wave range: 62; ability: 61; wave type: 59,"Capture model family, wave range, ability guidance and design characteristics from official model detail pages."
Chemistry Surfboards,38,36,7,0,1,5,2,10,18,1,0,36,high,wave range: 38; wave type: 37; ability: 36,Repair canonical model/source URLs and collect manufacturer descriptions before classification.
Chilli,24,24,11,4,2,8,10,24,14,2,0,24,high,wave type: 22; wave range: 20; ability: 14,"Capture official category, wave range, surfer level and design metadata from model pages."
Christenson,36,36,6,2,2,4,3,20,1,3,8,30,high,recommendation tags: 35; wave range: 34; wave type: 34,"Repair description coverage and distinguish fish, mid-length, longboard and performance families."
DHD,23,22,13,16,3,8,14,13,11,1,0,22,high,wave type: 20; recommendation tags: 12; category: 10,"Add structured extraction for model range, intended conditions, rocker, rail, tail and fin guidance."
DMS Surfboards,8,8,1,4,1,2,0,8,4,0,0,8,high,ability: 8; category: 7; wave type: 7,"Capture official model descriptions, intended waves and design notes; retain DMS as a canonical brand alias only."
Firewire,29,29,16,1,2,19,2,29,17,9,0,29,high,wave range: 28; ability: 27; wave type: 27,"Capture model family, intended wave range, ability guidance and construction notes from the official model pages."
Haydenshapes,14,14,7,4,9,14,12,12,12,0,0,14,high,wave range: 10; category: 7; wave type: 5,"Capture intended conditions, surfer fit, outline/rocker/rail notes and official model relationships."
JS Industries,30,30,9,6,3,7,1,6,13,0,0,30,high,ability: 29; wave type: 27; design metadata: 24,"Persist manufacturer series (Charger, Performer, Daily, Fun, Youth, Foil and Softboard) and structured design labels."
Lost,79,77,35,0,9,15,4,73,47,8,0,77,high,wave range: 79; ability: 75; wave type: 70,"Persist manufacturer families (Performance, Something Fishy, Grovellers, Recreational Vehicles, Mid Lengths, Step Ups) separately from construction names."
Misfit Shapes,12,12,1,0,0,0,0,4,0,0,0,12,high,ability: 12; recommendation tags: 12; wave range: 12,"Capture official category, wave fit and construction-independent model descriptions."
Pukas,13,13,3,2,3,3,2,11,6,1,1,13,high,ability: 11; wave range: 11; category: 10,Capture manufacturer model narratives and shaper/series metadata independently of Pukas retailer inventory.
Pyzel,41,39,28,8,9,11,6,39,35,6,9,39,high,ability: 35; wave range: 33; wave type: 32,"Persist manufacturer collection taxonomy (High Performance, Daily Drivers, Funformance, Mid Length/Gun) and explicit model guidance."
Rusty,49,46,17,0,5,8,5,36,19,5,0,46,high,wave range: 49; ability: 44; wave type: 44,"Extract practical wave-type, rider-volume and extra-litres guidance from model narratives without converting it into regional data."
Sharp Eye,20,20,15,2,0,13,6,20,16,6,3,20,high,wave type: 20; wave range: 18; ability: 14,"Capture labelled outline, rail, entry/exit rocker, wave-height, wave-type and ability scales as structured fields."
Simon Anderson,21,21,5,1,0,1,0,10,9,0,0,21,high,ability: 21; wave type: 21; wave range: 20,"Capture official model descriptions, wave fit and design metadata before deterministic classification."
