CanonicalModelId,Brand,Model,CurrentPublicFamily,ProposedPublicFamily,PrimaryCategory,SecondaryCategories,ManufacturerIntent,DNAEvidence,WaveIntent,Rocker,Rails,Outline,PerformanceScore,ForgivenessScore,WeakWaveScore,PowerfulWaveScore,Changed,ChangeReason,Confidence,ReviewRequired
8114,Album,Bom Dia,fish,performance_shortboard,performance_twin,alternative,"The Bom Dia is an alternative performance board that is meant to be ridden as well as you can surf. Unlike most alternative boards, the Bom Dia doesn’t need much width as it generates speed efficiently and planes right off the bat. With a narrow outline and asymmetrical tail, it rolls rail to rail instantly, making it very user friendly. Strong paddler that carries speed through turns. Sized similar to an Insanity, slightly shorter with more volume than a performance board. Left Available stock Right View all 6'0"" Bom Dia (Dark Arts) (Regular) $1,445 USD 6'5"" Bom Dia (Round) (Goofy) $1,200 USD","method=explicit_manufacturer; style=fast,technical,alternative_performance,drivey,sensitive; roles=performance,reef_alternative","{""average_waves"":8,""beach_break"":7,""hollow_waves"":6,""open_face"":8,""point_break"":7,""powerful_waves"":7,""reef_break"":8,""weak_waves"":6}",entry=medium;tail=medium_high,refined,narrow,8.25,5,6,7,True,Deterministic mapping from governed primary category performance_twin.,high,False
8115,Album,Bullet,daily_driver,daily_driver,hybrid_shortboard,daily_driver,One of the most versatile shapes in our lineup. Ride it short and stubby in small surf or use it as a daily driver with your shortboard dimensions. Get creative and dialed in with our shaper Matt by switching up the tail shapes in our custom unlimited order form.,"method=manufacturer_inference; style=versatile,balanced,easy_performance; roles=daily_driver,one_board_quiver","{""average_waves"":8,""beach_break"":8,""hollow_waves"":4,""open_face"":8,""point_break"":7,""powerful_waves"":6,""reef_break"":6,""weak_waves"":8}",entry=medium_low;tail=medium,medium,balanced,6.75,7,8,6,False,Deterministic mapping from governed primary category hybrid_shortboard.,medium,False
8116,Album,D'boa,fish,fish,performance_fish,,"Designed to be Victor's step-down from the Bom Dia, pulling concepts from the Vesper and applying them to the asym design of the Bom Dia. Easy speed generated from the double-barrel channel that also creates lift off the back foot, while providing grip through your turns. This paired with the efficiency and responsiveness of the asym tail/fin placement makes for effortless flow in average waves, while maintaining a high level of performance with instant rail-to-rail transitions. Left Available Stock Right View all D'boa Fin Placement Asymmetrically placed fins create an all-wheel-drive feel un","method=manufacturer_inference; style=fast,drivey,responsive,forgiving,stable; roles=small_wave,daily_driver,reef_alternative","{""average_waves"":9,""beach_break"":7,""hollow_waves"":5,""open_face"":7,""point_break"":6,""powerful_waves"":5,""reef_break"":7,""weak_waves"":10}",entry=medium_low;tail=medium,refined,balanced,7.25,8,10,5,False,Deterministic mapping from governed primary category performance_fish.,medium,False
8117,Album,Delma,fish,fish,performance_fish,,"An easy paddler that gets up to speed faster and with less effort than any of our models. Features the Plasmic's double-barrel concave that generates speed in just about anything. Similar concept to the Vesper, but with a more pulled in nose, winged round tail and a bit more rocker making it a great option for when the waves get a bit bigger. Left Available Stock Right 5'7"" Delma $1,400 USD 7'0"" Delma $1,400 USD 7'6"" Delma $1,400 USD Left Right 7'2"" Delma $1,700 USD Delma For anyone looking to dive deeper. Stretched fish rocker, making it flatter under the chest but also giving it more entry a","method=manufacturer_inference; style=fast,drivey,responsive,forgiving,stable; roles=small_wave,daily_driver,reef_alternative","{""average_waves"":9,""beach_break"":7,""hollow_waves"":8,""open_face"":7,""point_break"":6,""powerful_waves"":7,""reef_break"":7,""weak_waves"":6}",entry=medium_low;tail=medium,refined,balanced,7.75,8,6,7,False,Deterministic mapping from governed primary category performance_fish.,medium,False
8118,Album,Disorder,performance_shortboard,performance_shortboard,performance_shortboard,,"This is the pinnacle of all of our research and development of performance asymmetry over the last decade, and the next generation of the proven Disasym. Set up for regular- or goofy-foot. Twin fin speed on your toes with quad grip and a pulled-in rail line on your heels, and now with an updated performance rocker that","method=manufacturer_inference; style=technical,sensitive,vertical,drivey; roles=performance,competition","{""average_waves"":7,""beach_break"":7,""hollow_waves"":8,""open_face"":9,""point_break"":8,""powerful_waves"":10,""reef_break"":10,""weak_waves"":4}",entry=medium_high;tail=high,low_performance,narrow,8.25,4,4,10,False,Deterministic mapping from governed primary category performance_shortboard.,medium,False
8119,Album,Fascination,fish,fish,performance_fish,"traditional_fish,alternative","A classic fish turned asymmetrical. Everything you love about your fish, but without limitations. Twin fin speed on the toe side, quad control on the heal side. Slightly straighter outline than a traditionally fish, leading to more speed and hold. Ride it an inch or two longer and slightly narrower than your classic fi","method=manufacturer_inference; style=fast,drivey,responsive,stable; roles=small_wave,daily_driver,reef_alternative","{""average_waves"":8,""beach_break"":7,""hollow_waves"":6,""open_face"":7,""point_break"":6,""powerful_waves"":6,""reef_break"":7,""weak_waves"":7}",entry=medium_low;tail=medium,refined,balanced,7.25,7,7,6,False,Deterministic mapping from governed primary category performance_fish.,medium,False
8120,Album,Freewing,performance_shortboard,performance_shortboard,performance_shortboard,,"Matt designed this board for Jack Freestone with the intention of bringing new feeling and life into a familiar design. The result is a shortboard that bridges the gap between high performance and alternative styles, offering critical surfing with less effort. Slightly more width carried through the tail from the wing,","method=manufacturer_inference; style=technical,sensitive,vertical,fast,drivey; roles=performance,competition","{""average_waves"":6,""beach_break"":7,""hollow_waves"":8,""open_face"":9,""point_break"":8,""powerful_waves"":10,""reef_break"":10,""weak_waves"":4}",entry=medium_high;tail=high,low_performance,narrow,9.0,3,4,10,False,Deterministic mapping from governed primary category performance_shortboard.,medium,False
8121,Album,Insanity,performance_shortboard,performance_shortboard,performance_shortboard,,"For anyone looking to dive deeper. Relaxed entry rocker for a performance board with a subtle curve throughout and extra rocker in the exit. Relaxed entry gives more surface area under your chest for paddling and down the line speed. Extra exit rocker allows for more critical surfing by letting the board fit in steeper sections of the wave. Deep single concave under the front foot, transitioning into a slight double through the fins and vee off the tail, otherwise known as a spiral vee. The modern bottom generates speed, helps the board roll rail to rail and drive off your back foot. Rocker Pr","method=manufacturer_inference; style=technical,sensitive,vertical,fast,drivey; roles=performance,competition","{""average_waves"":6,""beach_break"":7,""hollow_waves"":8,""open_face"":9,""point_break"":8,""powerful_waves"":10,""reef_break"":10,""weak_waves"":4}",entry=medium_high;tail=high,low_performance,narrow,9.25,3,4,10,False,Deterministic mapping from governed primary category performance_shortboard.,medium,False
8123,Album,Lightbender,fish,fish,performance_fish,daily_driver,"A daily driver fish with a tighter outline and modern enhancements, designed to explore the limits of a traditional approach. Approachable for any style of surfing, combining easy speed generation and wave catching with the ability to turn wherever you want. Fits in tighter pockets and hangs in better waves than a trad","method=manufacturer_inference; style=fast,drivey,responsive; roles=small_wave,daily_driver,reef_alternative","{""average_waves"":8,""beach_break"":7,""hollow_waves"":6,""open_face"":7,""point_break"":6,""powerful_waves"":6,""reef_break"":7,""weak_waves"":7}",entry=medium_low;tail=medium,refined,balanced,7.5,7,7,6,False,Deterministic mapping from governed primary category performance_fish.,medium,False
8124,Album,Moonstone,fish,fish,performance_fish,mid_length,"A more dynamic version of a mid length that comes from a stretched fish platform. Has the feeling of a fish, but with increased hold and the ability to handle good waves from a narrower outline. It planes right off the bat while taking any momentum from the wave and turning it into instant speed. Has enough foam and pa","method=manufacturer_inference; style=fast,drivey,responsive; roles=small_wave,daily_driver,reef_alternative","{""average_waves"":8,""beach_break"":7,""hollow_waves"":6,""open_face"":7,""point_break"":6,""powerful_waves"":6,""reef_break"":7,""weak_waves"":7}",entry=medium_low;tail=medium,refined,balanced,7.0,7,7,6,False,Deterministic mapping from governed primary category performance_fish.,medium,False
