manufacturer,model,canonical_id,official_product_url,existing_primary_family,existing_design_subtype,proposed_primary_category,secondary_categories,fin_configuration,wave_power,wave_types,ability_range,paddle_profile,performance_profile,recommendation_lanes,excluded_lanes,source_summary,manufacturer_evidence,rocker_notes,rail_notes,tail_notes,key_trade_offs,source_confidence,classification_confidence,classification_status,changed_from_current,change_reason,review_decision,review_notes
Pyzel,Astro Glider,7793,https://pyzelsurf.com.au/products/astroglider,Performance Fish,Performance Fish,performance_fish,traditional_fish,Twin | Quad,moderate,,Intermediate | Advanced | Expert,moderate_high,moderate_high,fish | performance_fish | small_wave | daily_driver,alternative | beginner | big_wave | competition | everyday | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy fish.,"The Pyzel Astro Glider is a throwback to the 70's keel fish surfboard, but with a modern take. A shorter, drivier surfboard with plenty of speed, this board works brilliantly in all kinds of waves from 1-4ft and combines smooth turning with quick speed pickup to give you a fun board with plenty of volume underneath you. The Pyzel Astro Glider features: a modern rocker and concave combined with a wider tail to generate electric speed and performance. plenty of volume to get into waves easily. quad fin setup We recommend grabbing one that is about an inch shorted than your regular shortboard and riding it as a quad for a bit of extra spice.",The Pyzel Astro Glider features: a modern rocker and concave combined with a wider tail to generate electric speed and performance.,,The Pyzel Astro Glider features: a modern rocker and concave combined with a wider tail to generate electric speed and performance.,,medium,high,proposed_for_owner_review,False,current primaryFamily=Performance Fish; \bperformance fish\b,,
Pyzel,Astro Pop,7762,https://pyzelsurf.com.au/products/astropopelectraliteepoxy,Performance Fish,Performance Fish,performance_fish,groveller,Twin | Quad,weak,,Intermediate | Advanced | Expert,moderate_high,moderate_high,fish | performance_fish | small_wave | daily_driver,alternative | beginner | big_wave | competition | everyday | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated fish/groveller crossover.,"If you want to go fast you need the Pyzel Astro Pop ElectraLite EPS! The Astro Pop wil give your surfing some extra spark, especially in traditional summer style waves. It's easy to paddle in weaker, slower waves, but it still offers a performance edge. It's extremely fun to ride in good surf with long walls. Built off of the Astro Glider , the Astro Pop has a more pulled in nose and tail. A little wing in the tail helps to pull in the last 4 inches of the tail creating a lot of curve in the outline. This adds maneuverability without sacrificing any speed. The bottom concave is a deep double concave that blends into a vee off the tail. This gets the board on top of the water with ease, even in slower weaker waves. It also makes rail to rail transitions a breeze. The Astro Pop has a mild beak nose which allows the thickness to run all the way into the nose, but it's not overly chunky. We recommend riding the Astro Pop as a quad for ultimate speed, control and drive. It comes stock with a 5 fin setup so you can ride it as a thruster if desired. Ride it short (Jon Pyzel rides his as a 5'5) and about 0.5 to 1 inch wider, and slightly thicker than your everyday shortboard. The new ElectraLite Epoxy Tech boards are built to replicate the ultra-light weight feeling of a Pro board, but with more strength and durability then PU. This a very light board with an excellent strength-to-weig",It also makes rail to rail transitions a breeze.,,"Built off of the Astro Glider , the Astro Pop has a more pulled in nose and tail. A little wing in the tail helps to pull in the last 4 inches of the tail creating a lot of curve in the outline.",,medium,high,proposed_for_owner_review,False,current primaryFamily=Performance Fish; \bperformance fish\b,,
Pyzel,Astro Pop XL,7786,https://pyzelsurf.com.au/products/astropopxl,Groveller,Small Wave Performance,groveller,traditional_fish | daily_driver,Thruster | Five Fin,weak,,Intermediate | Advanced,high,moderate_small_wave,groveller | small_wave | weak_wave,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | flow | forgiving_shortboard | good_wave | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin,Mapped from canonical taxonomy groveller.,"If you want to go fast you need the Pyzel Astro Pop XL! The Astro Pop will give your surfing some extra spark, especially in traditional summer style waves. It's easy to paddle in weaker, slower waves, but it still offers a performance edge. It's extremely fun to ride in good surf with long walls. For fun days with a nice side of performance, the Astropop XL is the go-to board for loose fun in all wave conditions.The Astro Pop XL is designed to give you some extra spark and easy paddle in weaker, slower waves, while still keeping a performance edge and super fun to ride in good surf. Built off of the Astro, the retro fish weʼve been making for years, the Astro Pop XL has a more pulled in nose and tail, with a little wing to help pull in the last 4 inches of the tail which creates a lot of curve in the outline, adding maneuverability without sacrificing any speed. The bottom has a deep double concave running through to vee off the tail which makes the board get up on top of the water in even slower, weaker waves and still easily tip over onto the rail at high speeds. A mild beak nose helps keep the thickness up into the nose, but itʼs not overly chunky, more like a daily driver type board but with easy paddling aided by the flatter entry rocker. We recommend the Astro Pop XL as a quad, for speed, but it comes stock with a 5-fin setup to maximize versatility.Ride it as short as y",flatter entry rocker,,"For fun days with a nice side of performance, the Astropop XL is the go-to board for loose fun in all wave conditions.The Astro Pop XL is designed to give you some extra spark and easy paddle in weaker, slower waves, while still keeping a performance edge and super fun to ride in good surf. Built off of the Astro, the retro fish weʼve been making for years, ",,medium,high,proposed_for_owner_review,False,current primaryFamily=Groveller; \bgrovell?er\b,,
Pyzel,Crisis Twin,7770,https://pyzelsurf.com.au/products/twin-crisis,Mid Length,Mid Length,mid_length,performance_twin,Single | Two Plus One | Twin,weak,,Progressing | Intermediate | Advanced,high,flow_and_trim,mid_length | paddle_support | flow,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated performance twin mid-length classification.,"The Crisis Twin is a natural evolution from our Mid Length Crisis, which was typically ridden as a 2+1. We kept seeing people throwing twin keel fins into the forward boxes and realised it made the board a whole different thing, but the fin placement wasn’t optimal for control and performance. So eventually we built the Crisis Twin, a twin fin only version of the MLC with speed and flow as the main objectives. The design was already well suited to being ridden as a twin, a semi- traditional, wide-point forward outline that is sleek and racey for fast, down- the-line drive, but full bodied enough to provide added stability and glide in weaker, slower waves, but we did make a few small tweaks to improve it, pulling in the nose outline a touch to add more curve for more carve, and also adding some nose rocker to free it up a bit in tighter pockets and late drops. Easy paddling, responsive and loose, it has a beautiful foil from beaked nose to round tail, with a rolled deck that leaves the meat in themiddle of the board to help with paddling and nicely thinned out rails for sensitivity and bite. The outline is a long, clean curve, with no hip or wings, so it keeps a smooth flow on rail and through turns. The rocker is a moderate, long, clean curve running from tip to tail without any radical changes or flip. It is designed for fast paddling and to easily generate speed, carry flow,","The design was already well suited to being ridden as a twin, a semi- traditional, wide-point forward outline that is sleek and racey for fast, down- the-line drive, but full bodied enough to provide added stability and glide in weaker, slower waves, but we did make a few small tweaks to improve it, pulling in the nose outline a touch to add more curve for m",,round tail,,medium,high,proposed_for_owner_review,False,current primaryFamily=Mid Length; \bmid[ -]?length\b,,
Pyzel,Ghost,7761,https://pyzelsurf.com.au/products/the-ghost-squash,Performance Shortboard,Forgiving HPSB,performance_shortboard,step_up,Thruster,powerful,,Advanced | Expert,low_moderate,very_high,performance_shortboard | good_wave | competition,alternative | beginner | big_wave | daily_driver | everyday | fish | flow | forgiving_shortboard | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated performance step-up classification.,"The Ghost Squash is a version of Pyzel's best seller The Ghost that came about from JJF’s constant desire to experiment with new tweaks on his favourite boards. John’s feedback from his first few sessions on it were simple - the board felt really good, familiar like his favorites, but the squash tail felt fresh, fast, a bit more snappy and still held the rail through all of his turns. He immediately suggested that we should make that version available for everyone to try and we loved the idea, so here it is. We are building the boards directly off of John’s most recent file which has some small thickness adjustments made over the past winter season, but the most significant difference is in the tail. We pushed out the round tail into a semi pulled-in squash which straightens out the last 12 inches in the outline and adds extra lift and creates more of a pivot point than you get out of the classic version. This small change adds a bit more versatility to the Ghost in the lower wave ranges that you might want to ride it in, while still keeping that classic feeling of Ghost magic in good/bigger waves. GHOST SQUASH HIGHLIGHTS: Built directly off of JJF's most recent (2026) Ghost file. Many of the same overall Ghost characteristics that you know and love. Pulled-in Squash tail adds lift in tail area for increased lower end performance without losing hold through turns. Squash tail i","John’s feedback from his first few sessions on it were simple - the board felt really good, familiar like his favorites, but the squash tail felt fresh, fast, a bit more snappy and still held the rail through all of his turns.",,squash tail,Wants cleaner technique and stronger waves | More specialised than an everyday shortboard,high,high,proposed_for_owner_review,False,current primaryFamily=Performance Shortboard; \bperformance shortboard\b; \bhpsb\b,,
Pyzel,Ghost Pro,7794,https://pyzelsurf.com.au/products/pyzelproject12ghost-62,High Performance Shortboard,Competition HPSB,performance_shortboard,daily_driver,Thruster,powerful,point_break | reef_break,Advanced | Expert,low_moderate,very_high,performance_shortboard | good_wave | competition,alternative | beginner | big_wave | daily_driver | everyday | fish | flow | forgiving_shortboard | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy performance_shortboard.,"The Pyzel Ghost Project 12 is a limited edition version of the Pyzel Ghost that is based on what John John Florence was riding at the start of the 2019 WSL season. It comes with JJF's signature red burger flag logo, his WSL number 12, red pin line rail spray and the Pyzel logo flipped. The Pyzel Ghost Project 12 is only available in JJF's 6'0 and 6'2"" dimensions. The Pyzel Ghost was designed to offer performance in hollower, more powerful waves and has proven to work extremely well at reef breaks, dumpy beachies, and point breaks when the swell is 4ft+. The Pyzel Ghost is possibly the first truly high-performance board that works great for surfers of all skill levels and could be considered a one-board quiver for any surf trip with decent to good waves on the menu. Being such a versatile board, it's become one of JJF's favourites for all kinds of waves (Margaret River winner, Bells Allie Oop, J-Bay carves, and even head-high Trestles). It has also become a go-to for many surfers all around the globe. The Pyzel Ghost features: The Ghost outline has the wide point pushed slightly forward of centre, but the nose area is kept down and the tail is slightly pulled in to help the board fit right into the pocket of the wave and hold nicely in the barrel. The thickness is also pushed forward which helps get you into waves easily. The tail and rails are thinned out to help hold through b","It comes with JJF's signature red burger flag logo, his WSL number 12, red pin line rail spray and the Pyzel logo flipped. The tail and rails are thinned out to help hold through barrels and high-speed turns.",,swallow tail,,medium,high,proposed_for_owner_review,False,current primaryFamily=High Performance Shortboard; \bhigh performance shortboard\b; \bperformance shortboard\b; \bhpsb\b,,
Pyzel,Ghost Swallow,7791,https://pyzelsurf.com.au/products/ghostswallowtail,Hybrid Shortboard,All Round Daily Driver,daily_driver,hybrid_shortboard,Thruster | Five Fin,powerful,point_break | reef_break,Progressing | Intermediate | Advanced,moderate,moderate,daily_driver | everyday,alternative | beginner | big_wave | competition | fish | flow | forgiving_shortboard | good_wave | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy daily_driver.,"The Pyzel Ghost Swallow Tail was designed to offer performance in hollower, more powerful waves and has proven to work extremely well at reef breaks, dumpy beachies, and point breaks when the swell is 4ft+. The Pyzel Ghost is possibly the first truly high-performance board that works great for surfers of all skill levels and could be considered a one-board quiver for any surf trip with decent to good waves on the menu. Being such a versatile board, it's become one of JJF's favourites for all kinds of waves (Margaret River winner, Bells Allie Oop, J-Bay carves, and even head-high Trestles). It has also become a go-to for many surfers all around the globe. The Pyzel Ghost Swallow Tail features: The Ghost outline has the wide point pushed slightly forward of centre, but the nose area is kept down and the tail is slightly pulled in to help the board fit right into the pocket of the wave and hold nicely in the barrel. The thickness is also pushed forward which helps get you into waves easily. The tail and rails are thinned out to help hold through barrels and high-speed turns. The rocker is medium to low through the front half of the board providing lots of paddle power and easy speed generation from the get-go. The tail has plenty of rocker for turning control and snappy responsiveness. A single concave runs through the entire bottom, with a double concave set inside, which equals ",The tail and rails are thinned out to help hold through barrels and high-speed turns. The rocker is medium to low through the front half of the board providing lots of paddle power and easy speed generation from the get-go.,,Swallow Tail,,medium,medium,proposed_for_owner_review,True,\bdaily driver\b; \bone-board quiver\b,,
Pyzel,Ghost XL,7785,https://pyzelsurf.com.au/products/ghostxl,Performance Shortboard,Competition HPSB,performance_shortboard,daily_driver,Thruster,powerful,,Advanced | Expert,low_moderate,very_high,performance_shortboard | good_wave | competition,alternative | beginner | big_wave | daily_driver | everyday | fish | flow | forgiving_shortboard | groveller | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Curated Ghost XL classification as the supportive variant rather than a default pick for lighter advanced surfers.,"The Pyzel Ghost XL is the same model JJF loves to ride, but with the dims beefed out a bit. The Pyzel Ghost was designed to offer performance in hollower, more powerful waves and has proven to work extremely well at reef breaks, dumpy beachies, and point breaks when the swell is 4ft+. The Pyzel Ghost is possibly the first truly high-performance board that works great for surfers of all skill levels and could be considered a one-board quiver for any surf trip with decent to good waves on the menu. Being such a versatile board, it's become one of JJF's favourites for all kinds of waves (Margaret River winner, Bells Allie Oop, J-Bay carves, and even head-high Trestles). It has also become a go-to for many surfers all around the globe. The Pyzel Ghost XL features: The Ghost outline has the wide point pushed slightly forward of centre, but the nose area is kept down and the tail is slightly pulled in to help the board fit right into the pocket of the wave and hold nicely in the barrel. The thickness is also pushed forward which helps get you into waves easily. The tail and rails are thinned out to help hold through barrels and high-speed turns. The rocker is medium to low through the front half of the board providing lots of paddle power and easy speed generation from the get-go. The tail has plenty of rocker for turning control and snappy responsiveness. A single concave runs throu",The tail and rails are thinned out to help hold through barrels and high-speed turns. The rocker is medium to low through the front half of the board providing lots of paddle power and easy speed generation from the get-go.,,swallow tail,Adds width and foam compared with the standard Ghost | Can force lighter surfers into unnaturally short sizes to hit target volume,high,high,proposed_for_owner_review,False,current primaryFamily=Performance Shortboard; \bperformance shortboard\b; \bhpsb\b,,
Pyzel,Gremlin,7768,https://pyzelsurf.com.au/products/gremlin-softboard,Groveller,Small Wave Performance,groveller,longboard | softboard,Thruster | Five Fin,weak,,Intermediate | Advanced,high,moderate_small_wave,groveller | small_wave | weak_wave,alternative | beginner | big_wave | competition | daily_driver | everyday | fish | flow | forgiving_shortboard | good_wave | gun | hollow_wave | hybrid_shortboard | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin,Curated accessible small-wave board classification.,"JJF's The Gremlin is the perfect softboard to add to your quiver. The Gremlin is a board where performance is key, allowing you to do smooth cutbacks, tight hacks and lofty airs. It's also a great transition board if you are looking to jump off the longboard and onto something a bit shorter. Made using the most advanced construction for maximum durability and performance and featuring genuine Futures fin boxes and durable Eco EPS construction. Funformance design by Jon Pyzel and John John Florence Eco EPS Construction Soft EVA Top Layer Futures Fin boxes Five Fin setup Funformance Technology Each Funformance board that we make is constructed of the highest quality materials and built to perform from progression to performance surfing. Each of our boards features lightweight and durable epoxy/fiberglass construction, a full length recycled EPS foam core with an internal wood stringer, genuine Futures boxes and a soft durable EVA top layer. For maximum performance, each of our boards features hand sanded rails to match the performance profile of each of our board designs. This is a huge advantage of our Funformance boards over traditional softboards as the geometry of our designs is able to be applied to our exclusive technology through detailed hand finishing of each and every board. Designed for your first wave or for a performance addition to anyone's quiver, our boards are fo","For maximum performance, each of our boards features hand sanded rails to match the performance profile of each of our board designs.",,This is a huge advantage of our Funformance boards over traditional softboards as the geometry of our designs is able to be applied to our exclusive technology through detailed hand finishing of each and every board.,,medium,high,proposed_for_owner_review,False,current primaryFamily=Groveller; \bgrovell?er\b,,
Pyzel,Gremlin XL,7772,https://pyzelsurf.com.au/products/gremlinxl,Hybrid Shortboard,All Round Daily Driver,hybrid_shortboard,daily_driver,Thruster | Five Fin,moderate,,Progressing | Intermediate | Advanced,moderate_high,moderate,hybrid_shortboard | daily_driver | forgiving_shortboard,alternative | beginner | big_wave | competition | everyday | fish | flow | good_wave | groveller | gun | hollow_wave | longboard | mid_length | paddle_support | performance_daily_driver | performance_fish | performance_mid_length | performance_shortboard | performance_twin | point_break | powerful_wave | small_wave | small_wave_shortboard | softboard | step_up | traditional_fish | twin_pin | weak_wave,Mapped from canonical taxonomy hybrid.,"The official Pyzel product record identifies the Gremlin XL as the support-oriented XL variant of the Gremlin. Quivrr treats it as an all-round hybrid shortboard and applies XL variant guidance separately, so the extra width and foam should be matched to rider size, paddle needs and target volume.",,,,,medium,high,proposed_for_owner_review,False,current primaryFamily=Hybrid Shortboard; \bhybrid shortboard\b,,
